"uniprot_id","protein","gene","description","n_seq","sum_spectra","Gene","Ensembl","in_hpa_muscle","in_blood_blacklist","CR006_T1","CR006_T2","CR007_T1","CR007_T2","CR008_T1","CR008_T2","CR009_T2","CR010_T2","CR012_T1","CR012_T2","CR015_T1","CR017_T1","CR017_T2","CR018_T1","CR018_T2","CR022_T1","CR022_T2","CR023_T1","CR025_T1","CR025_T2","CR072_T1","CR072_T2","CR149_T1","CR149_T2","CR163_T1","CR163_T2","CR383_T1","CR386_T1","CR386_T2","PPS02","PPS20","PPS28","PPS31","PPS32","PPS37","PPS40","PPS41","PPS42","PPS44","logFC_Baseline_SURVvCTL","CI.L_Baseline_SURVvCTL","CI.R_Baseline_SURVvCTL","average_intensity_Baseline_SURVvCTL","t_Baseline_SURVvCTL","B_Baseline_SURVvCTL","P.Value_Baseline_SURVvCTL","adj.P.Val_Baseline_SURVvCTL","sig.PVal_Baseline_SURVvCTL","sig.FDR_Baseline_SURVvCTL","logFC_Training_SURVvCTL","CI.L_Training_SURVvCTL","CI.R_Training_SURVvCTL","average_intensity_Training_SURVvCTL","t_Training_SURVvCTL","B_Training_SURVvCTL","P.Value_Training_SURVvCTL","adj.P.Val_Training_SURVvCTL","sig.PVal_Training_SURVvCTL","sig.FDR_Training_SURVvCTL","logFC_Training_SURV","CI.L_Training_SURV","CI.R_Training_SURV","average_intensity_Training_SURV","t_Training_SURV","B_Training_SURV","P.Value_Training_SURV","adj.P.Val_Training_SURV","sig.PVal_Training_SURV","sig.FDR_Training_SURV"
"O00505","IMA4_HUMAN","KPNA3","Importin subunit alpha-4",6,926278,"KPNA3","ENSG00000102753",TRUE,FALSE,20.2029141812668,20.0063553834583,NA,19.9191345554866,20.1273562714269,20.7536005327693,18.2261925648308,19.7557032268327,19.6712798203422,19.2675275481591,18.4785641914833,19.7332060709934,20.4926587914321,19.9199347651037,20.2492823587248,18.7079349629266,19.2871626140445,16.6421829914875,19.6122642932982,19.7592425403445,20.0249111817879,18.9874009897583,19.2081354003455,19.7413716910539,19.871098386571,19.6330408004357,19.9060279764436,NA,19.3891554984715,20.1307661421194,20.0150440304538,20.0023299738361,20.1992303960793,19.8223924688641,19.8512037181711,19.9859186424925,20.3923535507026,20.3681599839978,19.8831773271442,-0.35375113306112,-0.697082947579822,-0.0104193185424184,19.6817355627876,-2.08536330709044,-4.46218630879134,0.0437580188140859,0.12348065747099,-1,0,-0.318230512904755,-0.654167990154658,0.0177069643451479,19.6817355627876,-1.91726126918379,-4.90802904694985,0.0626937994060572,0.131725124186857,0,0,0.0355206201563654,-0.268758089248546,0.339799329561277,19.6817355627876,0.236269091242483,-5.98880711562868,0.814484184930847,0.936027306463334,0,0
"Q13630","FCL_HUMAN","TSTA3","GDP-L-fucose synthase",10,925294,"GFUS","ENSG00000104522",TRUE,FALSE,18.1185761652652,18.1368178722645,20.5002680350753,19.1857927759241,18.0757216951308,18.3054885174907,20.9037209601409,17.5949139249645,18.6982479433833,19.4558806672485,19.8239532402027,19.0666261858513,18.3942773451313,18.2115977088441,20.8360818646119,21.4228188295833,20.329835698921,20.5965248767015,20.4462973394445,19.2090488064911,19.3310058793056,21.0866553107512,20.9780305606247,19.0755643485103,18.6983221966856,18.7971211090227,17.1178024540331,18.8417775606548,20.3512238927372,NA,17.4188530668862,17.2839859357004,17.059548710927,16.9151566083451,17.0804160431076,16.716426239983,18.0614173423264,17.1875092603859,NA,1.85045681500281,1.14085005667764,2.56006357332799,18.9003596479097,5.27787557996882,3.92649461178818,5.45860109838631e-06,0.000162330398818165,1,1,2.00238640727174,1.30658871547617,2.69818409906731,18.9003596479097,5.8245562217434,5.53214438534445,9.68253501414392e-07,1.92951960642682e-05,1,1,0.151929592268928,-0.450942246572205,0.754801431110062,18.9003596479097,0.510053006072444,-5.89514028822259,0.612944292332676,0.846100160881269,0,0
"P16989","YBOX3_HUMAN","YBX3","Y-box-binding protein 3",4,923209,"YBX3","ENSG00000060138",TRUE,FALSE,20.8896570869855,20.6674863762685,16.9971261763297,19.3109441813421,20.0987560022917,19.7775007038395,18.7647818420233,19.4334665775551,19.8176754792985,19.8565144761836,18.2082724521719,19.8317192268217,19.9625719853499,20.2337525728173,19.9469025039502,19.1607152883068,19.6253240434693,18.509093894126,19.2663513128944,19.6757195866551,19.6727681022511,19.2709063135104,19.9961771629163,19.6007358346191,20.079174346796,20.1668262826763,19.9763835589251,17.4932121363295,18.9859306042738,20.511865707568,19.9874284236991,19.6202997995652,20.4936139718081,20.4917413272,20.0734363400358,20.0578448486218,19.9245422525073,19.7959937836556,20.0071765148412,-0.280180865169189,-0.603933355648488,0.0435716253101092,19.6471894636021,-1.74872009825732,-5.05392235626221,0.0879610230224014,0.201934272568055,0,0,-0.382045099304886,-0.698964384829093,-0.0651258137806783,19.6471894636021,-2.43590817179766,-3.8925670763009,0.0193723736930049,0.0519373070021893,-1,0,-0.101864234135697,-0.38819775540994,0.184469287138547,19.6471894636021,-0.718860263131888,-5.7726395824964,0.476378778090547,0.77438846143482,0,0
"Q15084","PDIA6_HUMAN","PDIA6","Protein disulfide-isomerase A6",13,923202,"PDIA6","ENSG00000143870",TRUE,FALSE,19.1275146580419,19.1262895214053,20.1624474104683,19.7589859811159,18.9441076355262,19.0536720109444,20.4349929725266,20.0126417168201,19.7391741761236,19.8122263245826,20.5312203937996,19.4214470017192,19.7477262428914,19.2637616819313,19.2721154197559,20.0755743348917,19.4159687776525,20.2322892482939,19.2255043655242,19.7599296034101,19.5429114119381,20.0084520936533,19.5084402720547,19.7900815551457,19.0367953044287,19.0943597511864,18.9753960148935,21.2449156913837,19.9656305451148,19.8419999498298,19.2572744257437,18.9196552403923,19.0689119315889,18.9220425890623,19.4043885600478,18.867956239249,19.803379828441,19.5105388981561,18.8742706077086,0.177075431506111,-0.0920143239363507,0.446165186948573,19.5578202663447,1.3297074199485,-5.663837163458,0.191099686337935,0.337347665471441,0,0,0.401422381049656,0.1380121045435,0.664832657555812,19.5578202663447,3.07938376524046,-2.39344829938201,0.00372769703724326,0.0142816802316651,1,1,0.224346949543545,-0.0136416975880883,0.462335596675178,19.5578202663447,1.90484163883603,-4.34744227493897,0.0639616978880815,0.352685705006011,0,0
"Q9HDC9","APMAP_HUMAN","APMAP","Adipocyte plasma membrane-associated protein",13,922371,"APMAP","ENSG00000101474",TRUE,FALSE,18.6754687259726,19.358951485677,21.1902284485959,19.0266515194539,18.5240632207353,18.2515833836148,21.006414547538,18.9670292003681,19.2231898574174,19.9287933794057,21.0765910383902,18.8686147256103,19.4366296239532,17.9544246985878,19.1442805100752,21.0700509817366,19.6345357602852,21.1529120068051,19.9354581956205,19.5309050431647,19.521573946169,20.4207276167752,18.9345718770815,19.159146942454,18.4154410878799,18.5813596292754,18.7640245598312,21.3770596210171,19.9463216905845,18.0666243869167,18.5055497297973,18.7182528106126,17.3118797793045,18.5351018696329,18.2181707241496,17.3407059830318,18.3860317669372,18.1355270948749,18.456770974222,0.935017227006732,0.480188418063526,1.38984603594994,19.1987594472706,4.15400098052116,0.644001352387727,0.000165348263924918,0.00201017732180419,1,1,1.2115112836308,0.766282210789662,1.65674035647194,19.1987594472706,5.49843246734358,4.63678405275636,2.34852189194859e-06,3.94755897142316e-05,1,1,0.276494056624067,-0.125766121355956,0.67875423460409,19.1987594472706,1.3889087256939,-5.11197310571618,0.17249619407432,0.530364831313344,0,0
"Q07020","RL18_HUMAN","RPL18","60S ribosomal protein L18",5,921407,"RPL18","ENSG00000063177",TRUE,FALSE,19.4244009841622,20.0789256248752,19.6641234198131,19.3533242696547,19.4290423999395,19.3481272067586,20.3713743183016,19.0754685867261,19.9403728623645,19.9987678064544,20.2489297237207,19.828427944154,19.7373844388071,19.5617919713705,19.7784620847872,19.8924674472673,19.8283209922156,20.2421089112266,19.588593789954,20.2911866160247,19.4270531886835,20.0678931563179,18.9160051757404,20.0118121026015,19.7075803568488,19.3272847655832,19.2403949015696,20.5405159848446,19.5706678506122,19.3722764006103,19.4609341756917,19.7283387289752,19.6692669175531,19.9111436102489,19.3886986884506,19.8082774525141,19.3558661889064,19.3451318158026,19.4515192141224,0.00778753191176307,-0.24781674957497,0.263391813398496,19.6918528736988,0.0615639763310241,-6.52979400449809,0.95121467978255,0.969190470901423,0,0,0.185461153795444,-0.0647482767043145,0.435670584295203,19.6918528736988,1.49776690566366,-5.58117388426803,0.141993813558109,0.243543958835691,0,0,0.177673621883681,-0.0483881880579757,0.403735431825338,19.6918528736988,1.58814701450276,-4.84146563422713,0.120076599612435,0.452967937980119,0,0
"P04216","THY1_HUMAN","THY1","Thy-1 membrane glycoprotein",3,916422,"THY1","ENSG00000154096",TRUE,FALSE,17.1100099197285,19.3577284294227,20.6890774547147,19.0277112476556,17.9430915462512,18.6565406454514,20.6924944012268,19.654425491679,17.9584823911382,19.7026957976948,21.2270604115534,17.8976594888356,19.7903146531049,NA,18.9462635955628,19.2274027046174,19.6097360073328,20.9550360369988,19.2227839401745,20.101815035146,18.5566095992308,21.545243575775,17.5664568190968,20.1067550091084,17.0489301404037,NA,NA,21.0011296160401,20.2306956170962,NA,NA,16.2246436680419,16.2951279393692,NA,16.8654798795907,17.2650116944407,15.7104026925154,NA,15.709569818222,1.71717518242034,1.067786225248,2.36656413959268,18.8092620396006,5.37825516734532,3.92556812720601,5.9045246052589e-06,0.000167844795028904,1,1,3.24753061681776,2.62736191331083,3.86769932032468,18.8092620396006,10.6506253320653,17.7386521696268,2.9644629072133e-12,5.73030679964331e-09,1,1,1.53035543439741,1.00991132966425,2.05079953913058,18.8092620396006,5.98067104783833,5.39084268748608,9.91203536561175e-07,0.000957998218086375,1,1
"Q15121","PEA15_HUMAN","PEA15","Astrocytic phosphoprotein PEA-15",5,913645,"PEA15","ENSG00000162734",TRUE,FALSE,18.6688283928773,NA,20.4167047772046,18.867014905612,18.5016612893109,20.3641786388427,20.3046478755175,19.3072377684529,18.7863967845078,18.5333643072153,20.8554869269631,NA,19.4705506901276,17.9212815561592,19.6298787817873,20.2189342516818,18.4613602151067,20.8279909485764,18.6950059088036,19.1253686462555,19.5156940653492,19.6778345317482,17.8236608760794,18.665276590001,18.1662966268348,18.36919482812,18.6621256807865,22.103923658352,20.1728332672848,NA,17.250203023042,17.5047148682138,17.4937876260016,16.7444941483538,17.7844966518464,NA,17.8705610361582,17.9079433959752,17.9438085273371,1.22454586448647,0.702509524276516,1.74658220469642,18.931792630471,4.75613339913833,2.29979866277848,3.11230834954531e-05,0.000600722144596266,1,1,1.47006980442296,0.977798918268912,1.962340690577,18.931792630471,6.05499115624918,6.06542158664271,5.70967958686841e-07,1.2984483107549e-05,1,1,0.245523939936486,-0.204435147469749,0.695483027342722,18.931792630471,1.10637034085665,-5.38740979971028,0.275852516841193,0.64469872473836,0,0
"Q9Y5L4","TIM13_HUMAN","TIMM13","Mitochondrial import inner membrane translocase subunit Tim13",3,911627,"TIMM13","ENSG00000099800",TRUE,FALSE,19.7835260566791,19.4272182055361,18.0862298136023,20.2689484778479,21.0289939102766,21.4090172051901,17.9366661717478,19.9384154798178,19.6880622461159,19.680894072137,18.936020336412,19.0239823260722,19.077249988631,19.6876164504471,19.2677541713834,NA,18.7028514828795,18.6368053234487,19.3892687920604,19.5459075399778,19.3077086399055,18.4729693894686,19.2642789002429,19.0292012912976,20.6066120021293,19.7937848035684,19.7740270627285,19.7745790436887,19.4707586544313,19.5031760971105,19.3159275982843,20.0547522139852,20.4190731598835,19.8020664838643,20.0539352132187,20.3040023006045,19.9147282647261,20.1084212469088,19.785107436959,-0.390325940219682,-0.782923137279385,0.00227125684002061,19.5860667856123,-2.01056249867039,-4.59510651803082,0.0512759235085097,0.13998336328773,0,0,-0.467609631305073,-0.84933432934843,-0.0858849332617166,19.5860667856123,-2.47725404005726,-3.80606624331033,0.0176489005965286,0.0478475804391162,-1,-1,-0.0772836910853911,-0.424681208884025,0.270113826713243,19.5860667856123,-0.4498818814727,-5.91531190381259,0.655269844549261,0.868153947576231,0,0
"Q9NQR4","NIT2_HUMAN","NIT2","Omega-amidase NIT2",15,907610,"NIT2","ENSG00000114021",TRUE,FALSE,19.536622590461,19.1842718385395,18.5657854157561,19.8481619097909,20.3489100290229,20.4172461977849,19.6548935846553,20.0988692833303,19.863378841233,19.4983830796495,19.7544228551888,19.527171565951,19.344447635535,20.0174043762939,19.3444418764249,19.331165654254,19.5144718825287,20.0249360232957,19.5123108593724,19.4520559467393,19.7545443321004,19.5164874322374,19.9725300774559,20.0987013770423,19.9843395004456,19.9851637196382,20.0626800108457,19.0705415429462,19.443323353175,20.318297598448,19.5262103882314,19.9796145651695,19.8790641947633,19.7556431523593,19.6413418258548,19.8021295532549,19.8521437821768,20.3016473580134,19.7732360155535,-0.0717809940361178,-0.304200806249765,0.16063881817753,19.7322305442441,-0.624067074006756,-6.33723726161491,0.53610389402922,0.676428738354101,0,0,-0.189188227508129,-0.416702526222472,0.0383260712062137,19.7322305442441,-1.68027497588786,-5.30612139057579,0.100648135848775,0.186710985216586,0,0,-0.117407233472012,-0.322964210490193,0.0881497435461698,19.7322305442441,-1.15413757333097,-5.38835834862335,0.255248941457904,0.625664969879669,0,0
