"contrast","type","sig.PVal","sig.FDR","pval_thresh","lfc_thresh","p_adj_method"
"Baseline_SURVvCTL","down","317","195",0.05,0,"BH"
"Baseline_SURVvCTL","nonsig","1228","1450",0.05,0,"BH"
"Baseline_SURVvCTL","up","388","288",0.05,0,"BH"
"Training_SURVvCTL","down","413","314",0.05,0,"BH"
"Training_SURVvCTL","nonsig","1061","1216",0.05,0,"BH"
"Training_SURVvCTL","up","459","403",0.05,0,"BH"
"Training_SURV","down","129","5",0.05,0,"BH"
"Training_SURV","nonsig","1643","1916",0.05,0,"BH"
"Training_SURV","up","161","12",0.05,0,"BH"
