sample_id,pct_missing,delta_missing,miss_flag,mahal_dist,pca_flag,sample_median,mad_deviation,mad_flag,n_flags,consensus_outlier
CR006_T1,10.1010101010101,11.11111111111111,FALSE,0.8303137756095775,FALSE,19.561459499666725,0.015616433609672242,FALSE,0,FALSE
CR006_T2,21.21212121212121,11.11111111111111,TRUE,1.1490890250870176,FALSE,20.09687073432773,0.5510276682706774,FALSE,1,FALSE
CR007_T1,28.97395002658161,-27.272727272727277,TRUE,4.624516682638353,FALSE,20.044086207453958,0.4982431413969053,FALSE,1,FALSE
CR007_T2,1.701222753854333,-27.272727272727277,FALSE,0.5945849740670961,FALSE,19.437372121919786,0.10847094413726666,FALSE,0,FALSE
CR008_T1,4.040404040404041,-0.21265284423179187,FALSE,2.103986892054313,FALSE,19.663346148341265,0.11750308228421247,FALSE,0,FALSE
CR008_T2,3.827751196172249,-0.21265284423179187,FALSE,1.8599796401423745,FALSE,19.555929663825555,0.010086597768502514,FALSE,0,FALSE
CR009_T1,61.61616161616161,-51.62147793726741,TRUE,26.916645824249713,TRUE,20.66094739126883,1.115104325211778,TRUE,3,TRUE
CR009_T2,9.994683678894205,-51.62147793726741,TRUE,7.7094018602906,FALSE,19.282326043807643,0.26351702224940965,FALSE,1,FALSE
CR010_T1,27.219564061669328,-25.305688463583202,TRUE,11.525992331255356,TRUE,20.479769411256743,0.9339263451996906,TRUE,3,TRUE
CR010_T2,1.9138755980861244,-25.305688463583202,FALSE,0.9235228411415146,FALSE,19.306480064450458,0.23936300160659485,FALSE,0,FALSE
CR012_T1,1.3290802764486975,0.2658160552897393,FALSE,1.678521961240267,FALSE,19.191685783237745,0.35415728281930825,FALSE,0,FALSE
CR012_T2,1.5948963317384368,0.2658160552897393,FALSE,0.5258834732538433,FALSE,19.419760658151414,0.1260824079056384,FALSE,0,FALSE
CR017_T1,2.711323763955343,1.6480595427963842,FALSE,0.7638604707042472,FALSE,19.31306399119727,0.23277907485978133,FALSE,0,FALSE
CR017_T2,4.359383306751727,1.6480595427963842,FALSE,0.15793275128557904,FALSE,19.642866110603524,0.09702304454647148,FALSE,0,FALSE
CR018_T1,4.891015417331207,5.901116427432216,FALSE,0.9967143879516153,FALSE,19.504999328755083,0.04084373730196944,FALSE,0,FALSE
CR018_T2,10.792131844763423,5.901116427432216,FALSE,0.25273900647808967,FALSE,19.561153229656146,0.015310163599092874,FALSE,0,FALSE
CR022_T1,15.736310473152578,-12.865497076023392,FALSE,3.088553237781447,FALSE,20.09100529686469,0.5451622308076374,FALSE,0,FALSE
CR022_T2,2.8708133971291865,-12.865497076023392,FALSE,0.19067204699047702,FALSE,19.463821684559694,0.08202138149735916,FALSE,0,FALSE
CR025_T1,5.741626794258373,-1.4885699096225409,FALSE,0.6268308515466382,FALSE,19.383290848735403,0.16255221732165026,FALSE,0,FALSE
CR025_T2,4.253056884635832,-1.4885699096225409,FALSE,0.07722787663682384,FALSE,19.64947372195231,0.10363065589525888,FALSE,0,FALSE
CR072_T1,0.6911217437533227,6.432748538011696,FALSE,0.3329377782693559,FALSE,19.490515717023158,0.055327349033895246,FALSE,0,FALSE
CR072_T2,7.123870281765019,6.432748538011696,FALSE,1.7943979592068986,FALSE,19.96348738862708,0.4176443225700268,FALSE,0,FALSE
CR149_T1,9.62254120148857,-4.30622009569378,FALSE,0.49925199959971467,FALSE,19.559777492862423,0.013934426805370492,FALSE,0,FALSE
CR149_T2,5.31632110579479,-4.30622009569378,FALSE,0.3950532280622726,FALSE,19.391587638687184,0.15425542736986841,FALSE,0,FALSE
CR163_T1,3.5619351408825093,1.4354066985645932,FALSE,1.323748039767195,FALSE,19.4227710126911,0.12307205336595217,FALSE,0,FALSE
CR163_T2,4.9973418394471025,1.4354066985645932,FALSE,1.2296122125693527,FALSE,19.328578515393403,0.2172645506636499,FALSE,0,FALSE
CR386_T1,20.095693779904305,-16.321105794790004,TRUE,7.354052920269648,FALSE,20.487415148246154,0.9415720821891007,TRUE,2,TRUE
CR386_T2,3.7745879851143007,-16.321105794790004,FALSE,0.39619680820505376,FALSE,19.707068041781334,0.16122497572428074,FALSE,0,FALSE
CR015_T1,4.518872939925571,NA,FALSE,4.51764020840984,FALSE,19.42960318608271,0.11623987997434426,FALSE,0,FALSE
CR023_T1,10.313662945241893,NA,FALSE,4.581356268315329,FALSE,19.545843066057053,0,FALSE,0,FALSE
CR383_T1,5.688463583200425,NA,FALSE,0.9787826669203977,FALSE,19.457553037151122,0.08829002890593074,FALSE,0,FALSE
