dataset,norm,PCV,PMAD,COR,PCV_rank,PMAD_rank,COR_rank,norm_composite
SURV,cycloess,0.0258,0.2734,0.9395,1,1,1,1
SURV,rlr,0.0276,0.2782,0.9288,3.5,2,4.5,3.3333333333333335
SURV,vsn,0.0265,0.2816,0.9288,2,4,4.5,3.5
SURV,log2,0.0276,0.2814,0.9288,3.5,3,4.5,3.6666666666666665
SURV,mean,0.0279,0.2998,0.9288,5,6,4.5,5.166666666666667
SURV,median,0.028,0.3018,0.9288,6,7,4.5,5.833333333333333
SURV,quantile,0.0284,0.2956,0.9283,7,5,8,6.666666666666667
SURV,gi,0.0291,0.3091,0.9288,8,8,4.5,6.833333333333333
