dataset,norm,PCV,PMAD,COR,PCV_rank,PMAD_rank,COR_rank,norm_composite
CRE,cycloess,0.027,0.2775,0.9304,1,1,1,1
CRE,vsn,0.0275,0.287,0.922,2,3,4.5,3.1666666666666665
CRE,rlr,0.0281,0.2837,0.922,3,2,4.5,3.1666666666666665
CRE,log2,0.0284,0.2892,0.922,4,4,4.5,4.166666666666667
CRE,median,0.029,0.3065,0.922,5,6,4.5,5.166666666666667
CRE,mean,0.0292,0.3069,0.922,6,7,4.5,5.833333333333333
CRE,quantile,0.0295,0.3048,0.9218,7,5,8,6.666666666666667
CRE,gi,0.0309,0.3258,0.922,8,8,4.5,6.833333333333333
