"","uniprot_id","protein","gene","description","n_seq","sum_spectra","Gene","Ensembl","in_hpa_muscle","in_blood_blacklist","flag_source"
"104","A0A0C4DH35","HV335_HUMAN","IGHV3-35","Probable non-functional immunoglobulin heavy variable 3-35",1,608189,NA,NA,FALSE,FALSE,"HPA"
"105","Q9Y2D5","AKAP2_HUMAN","AKAP2","A-kinase anchor protein 2",8,580036,NA,NA,FALSE,FALSE,"HPA"
"106","O60938","KERA_HUMAN","KERA","Keratocan",6,579424,NA,NA,FALSE,FALSE,"HPA"
"107","Q7Z794","K2C1B_HUMAN","KRT77","Keratin, type II cytoskeletal 1b",1,550104,NA,NA,FALSE,FALSE,"HPA"
"108","Q9P121","NTRI_HUMAN","NTM","Neurotrimin",2,537662,NA,NA,FALSE,FALSE,"HPA"
"109","Q15306","IRF4_HUMAN","IRF4","Interferon regulatory factor 4",1,527857,NA,NA,FALSE,FALSE,"HPA"
"110","A0A0C4DH34","HV428_HUMAN","IGHV4-28","Immunoglobulin heavy variable 4-28",2,522774,NA,NA,FALSE,FALSE,"HPA"
"111","P00736","C1R_HUMAN","C1R","Complement C1r subcomponent",14,486770,NA,NA,FALSE,FALSE,"HPA"
"112","P08519","APOA_HUMAN","LPA","Apolipoprotein(a)",12,484015,NA,NA,FALSE,FALSE,"HPA"
"113","Q9UGM5","FETUB_HUMAN","FETUB","Fetuin-B",3,480644,NA,NA,FALSE,FALSE,"HPA"
"114","P35612","ADDB_HUMAN","ADD2","Beta-adducin",14,479857,NA,NA,FALSE,FALSE,"HPA"
"115","Q6NUJ1","SAPL1_HUMAN","PSAPL1","Proactivator polypeptide-like 1",1,444426,NA,NA,FALSE,FALSE,"HPA"
"116","P15814","IGLL1_HUMAN","IGLL1","Immunoglobulin lambda-like polypeptide 1",3,441359,NA,NA,FALSE,FALSE,"HPA"
"117","Q16799","RTN1_HUMAN","RTN1","Reticulon-1",3,438979,NA,NA,FALSE,FALSE,"HPA"
"118","P23946","CMA1_HUMAN","CMA1","Chymase",8,432203,NA,NA,FALSE,FALSE,"HPA"
"119","A0A0C4DH67","KV108_HUMAN","IGKV1-8","Immunoglobulin kappa variable 1-8",1,428479,NA,NA,FALSE,FALSE,"HPA"
"120","P01593","KVD33_HUMAN","IGKV1D-33","Immunoglobulin kappa variable 1D-33",1,389964,NA,NA,FALSE,FALSE,"HPA"
"121","P0CG29","GST2_HUMAN","GSTT2","Glutathione S-transferase theta-2",7,381288,NA,NA,FALSE,FALSE,"HPA"
"122","Q6IB77","GLYAT_HUMAN","GLYAT","Glycine N-acyltransferase",3,372531,NA,NA,FALSE,FALSE,"HPA"
"123","P09105","HBAT_HUMAN","HBQ1","Hemoglobin subunit theta-1",7,367410,NA,NA,FALSE,FALSE,"HPA"
"124","P22792","CPN2_HUMAN","CPN2","Carboxypeptidase N subunit 2",7,354154,NA,NA,FALSE,FALSE,"HPA"
"125","P02008","HBAZ_HUMAN","HBZ","Hemoglobin subunit zeta",4,347705,NA,NA,FALSE,FALSE,"HPA"
