uniprot_id,gene,description,in_hpa_muscle,in_blood_blacklist,reason
P16435,POR,NADPH--cytochrome P450 reductase,TRUE,FALSE,Missingness
Q96H20,SNF8,Vacuolar-sorting protein SNF8,TRUE,FALSE,Missingness
Q8WTS1,ABHD5,1-acylglycerol-3-phosphate O-acyltransferase ABHD5,TRUE,FALSE,Missingness
P02795,MT2A,Metallothionein-2,TRUE,FALSE,Missingness
Q6UXB8,PI16,Peptidase inhibitor 16,TRUE,FALSE,Missingness
P98179,RBM3,RNA-binding protein 3,TRUE,FALSE,Missingness
Q9UK76,JPT1,Jupiter microtubule associated homolog 1,TRUE,FALSE,Missingness
P28906,CD34,Hematopoietic progenitor cell antigen CD34,TRUE,FALSE,Missingness
Q8WZA9,IRGQ,Immunity-related GTPase family Q protein,TRUE,FALSE,Missingness
Q14554,PDIA5,Protein disulfide-isomerase A5,TRUE,FALSE,Missingness
P07998,RNASE1,Ribonuclease pancreatic,TRUE,FALSE,Missingness
Q96IJ6,GMPPA,Mannose-1-phosphate guanyltransferase alpha,TRUE,FALSE,Missingness
Q13263,TRIM28,Transcription intermediary factor 1-beta,TRUE,FALSE,Missingness
O95674,CDS2,Phosphatidate cytidylyltransferase 2,TRUE,FALSE,Missingness
Q9BVA1,TUBB2B,Tubulin beta-2B chain,TRUE,FALSE,Missingness
Q8WXH0,SYNE2,Nesprin-2,TRUE,FALSE,Missingness
Q14767,LTBP2,Latent-transforming growth factor beta-binding protein 2,TRUE,FALSE,Missingness
Q7Z422,SZRD1,SUZ domain-containing protein 1,TRUE,FALSE,Missingness
Q9BQI9,NRIP2,Nuclear receptor-interacting protein 2,TRUE,FALSE,Missingness
Q6GMV2,SMYD5,SET and MYND domain-containing protein 5,TRUE,FALSE,Missingness
A0A0B4J1X8,IGHV3-43,Immunoglobulin heavy variable 3-43,FALSE,FALSE,Contaminant
Q5QJ74,TBCEL,Tubulin-specific chaperone cofactor E-like protein,TRUE,FALSE,Missingness
Q9UQ90,SPG7,Paraplegin,TRUE,FALSE,Missingness
Q12792,TWF1,Twinfilin-1,TRUE,FALSE,Missingness
Q0VAK6,LMOD3,Leiomodin-3,TRUE,FALSE,Missingness
P17213,BPI,Bactericidal permeability-increasing protein,FALSE,FALSE,Contaminant
Q9BRK5,SDF4,45 kDa calcium-binding protein,FALSE,FALSE,Contaminant
P63146,UBE2B,Ubiquitin-conjugating enzyme E2 B,TRUE,FALSE,Missingness
Q9NR46,SH3GLB2,Endophilin-B2,TRUE,FALSE,Missingness
Q9NUQ8,ABCF3,ATP-binding cassette sub-family F member 3,TRUE,FALSE,Missingness
Q9HD15,SRA1,Steroid receptor RNA activator 1,TRUE,FALSE,Missingness
Q13790,APOF,Apolipoprotein F,FALSE,FALSE,Contaminant
Q92614,MYO18A,Unconventional myosin-XVIIIa,TRUE,FALSE,Missingness
Q92901,RPL3L,60S ribosomal protein L3-like,TRUE,FALSE,Missingness
P27694,RPA1,Replication protein A 70 kDa DNA-binding subunit,TRUE,FALSE,Missingness
P09601,HMOX1,Heme oxygenase 1,TRUE,FALSE,Missingness
Q8WX93,PALLD,Palladin,TRUE,FALSE,Missingness
Q8TAE6,PPP1R14C,Protein phosphatase 1 regulatory subunit 14C,TRUE,FALSE,Missingness
Q8N5K1,CISD2,CDGSH iron-sulfur domain-containing protein 2,TRUE,FALSE,Missingness
Q6EMK4,VASN,Vasorin,TRUE,FALSE,Missingness
P19256,CD58,Lymphocyte function-associated antigen 3,TRUE,FALSE,Missingness
Q9NRN5,OLFML3,Olfactomedin-like protein 3,TRUE,FALSE,Missingness
Q3SXM5,HSDL1,Inactive hydroxysteroid dehydrogenase-like protein 1,TRUE,FALSE,Missingness
Q9P0S9,TMEM14C,Transmembrane protein 14C,TRUE,FALSE,Missingness
A0A0B4J1V2,IGHV2-26,Immunoglobulin heavy variable 2-26,FALSE,FALSE,Contaminant
P11215,ITGAM,Integrin alpha-M,TRUE,FALSE,Missingness
P42224,STAT1,Signal transducer and activator of transcription 1-alpha/beta,TRUE,FALSE,Missingness
O00161,SNAP23,Synaptosomal-associated protein 23,TRUE,FALSE,Missingness
P25940,COL5A3,Collagen alpha-3(V) chain,TRUE,FALSE,Missingness
Q9Y279,VSIG4,V-set and immunoglobulin domain-containing protein 4,TRUE,FALSE,Missingness
Q96JY6,PDLIM2,PDZ and LIM domain protein 2,TRUE,FALSE,Missingness
P15502,ELN,Elastin,TRUE,FALSE,Missingness
P08195,SLC3A2,4F2 cell-surface antigen heavy chain,TRUE,FALSE,Missingness
Q0ZGT2,NEXN,Nexilin,TRUE,FALSE,Missingness
P78559,MAP1A,Microtubule-associated protein 1A,TRUE,FALSE,Missingness
Q8TCS8,PNPT1,"Polyribonucleotide nucleotidyltransferase 1, mitochondrial",TRUE,FALSE,Missingness
Q86UE4,MTDH,Protein LYRIC,TRUE,FALSE,Missingness
A0A0B4J1U3,IGLV1-36,Immunoglobulin lambda variable 1-36,FALSE,FALSE,Contaminant
P31749,AKT1,RAC-alpha serine/threonine-protein kinase,TRUE,FALSE,Missingness
O43747,AP1G1,AP-1 complex subunit gamma-1,TRUE,FALSE,Missingness
P43243,MATR3,Matrin-3,TRUE,FALSE,Missingness
Q8NE62,CHDH,"Choline dehydrogenase, mitochondrial",TRUE,FALSE,Missingness
P41227,NAA10,N-alpha-acetyltransferase 10,TRUE,FALSE,Missingness
P46937,YAP1,Transcriptional coactivator YAP1,TRUE,FALSE,Missingness
Q9UBV8,PEF1,Peflin,TRUE,FALSE,Missingness
Q86W34,AMZ2,Archaemetzincin-2,TRUE,FALSE,Missingness
Q9NQ50,MRPL40,"39S ribosomal protein L40, mitochondrial",TRUE,FALSE,Missingness
Q9NVT9,ARMC1,Armadillo repeat-containing protein 1,TRUE,FALSE,Missingness
O00625,PIR,Pirin,TRUE,FALSE,Missingness
P07948,LYN,Tyrosine-protein kinase Lyn,TRUE,FALSE,Missingness
P82650,MRPS22,"28S ribosomal protein S22, mitochondrial",TRUE,FALSE,Missingness
P40616,ARL1,ADP-ribosylation factor-like protein 1,TRUE,FALSE,Missingness
Q9H7C4,SYNC,Syncoilin,TRUE,FALSE,Missingness
Q9GZS3,WDR61,WD repeat-containing protein 61,TRUE,FALSE,Missingness
Q9BXJ9,NAA15,"N-alpha-acetyltransferase 15, NatA auxiliary subunit",TRUE,FALSE,Missingness
Q07812,BAX,Apoptosis regulator BAX,TRUE,FALSE,Missingness
O95302,FKBP9,Peptidyl-prolyl cis-trans isomerase FKBP9,TRUE,FALSE,Missingness
Q9Y3C4,TPRKB,EKC/KEOPS complex subunit TPRKB,TRUE,FALSE,Missingness
Q96C00,ZBTB9,Zinc finger and BTB domain-containing protein 9,TRUE,FALSE,Missingness
P05089,ARG1,Arginase-1,FALSE,FALSE,Contaminant
Q969H8,MYDGF,Myeloid-derived growth factor,TRUE,FALSE,Missingness
P46063,RECQL,ATP-dependent DNA helicase Q1,TRUE,FALSE,Missingness
Q6NYC8,PPP1R18,Phostensin,TRUE,FALSE,Missingness
Q9Y3D7,PAM16,Mitochondrial import inner membrane translocase subunit TIM16,TRUE,FALSE,Missingness
Q15772,SPEG,Striated muscle preferentially expressed protein kinase,TRUE,FALSE,Missingness
Q12981,BNIP1,Vesicle transport protein SEC20,TRUE,FALSE,Missingness
