uniprot_id,gene,description,in_hpa_muscle,in_blood_blacklist,reason
P62256,UBE2H,Ubiquitin-conjugating enzyme E2 H,TRUE,FALSE,Missingness
P41222,PTGDS,Prostaglandin-H2 D-isomerase,TRUE,FALSE,Missingness
Q6P1X6,C8orf82,UPF0598 protein C8orf82,TRUE,FALSE,Missingness
P23276,KEL,Kell blood group glycoprotein,FALSE,FALSE,Contaminant
P14317,HCLS1,Hematopoietic lineage cell-specific protein,TRUE,FALSE,Missingness
Q8TD19,NEK9,Serine/threonine-protein kinase Nek9,TRUE,FALSE,Missingness
Q9UGI8,TES,Testin,TRUE,FALSE,Missingness
O75477,ERLIN1,Erlin-1,TRUE,FALSE,Missingness
Q9BVL4,SELENOO,"Protein adenylyltransferase SelO, mitochondrial",TRUE,FALSE,Missingness
Q9ULT8,HECTD1,E3 ubiquitin-protein ligase HECTD1,TRUE,FALSE,Missingness
Q9NZJ7,MTCH1,Mitochondrial carrier homolog 1,TRUE,FALSE,Missingness
Q02127,DHODH,"Dihydroorotate dehydrogenase (quinone), mitochondrial",TRUE,FALSE,Missingness
Q9ULC3,RAB23,Ras-related protein Rab-23,TRUE,FALSE,Missingness
Q92575,UBXN4,UBX domain-containing protein 4,TRUE,FALSE,Missingness
P05106,ITGB3,Integrin beta-3,TRUE,FALSE,Missingness
P36404,ARL2,ADP-ribosylation factor-like protein 2,TRUE,FALSE,Missingness
Q8NC56,LEMD2,LEM domain-containing protein 2,TRUE,FALSE,Missingness
Q9BU89,DOHH,Deoxyhypusine hydroxylase,TRUE,FALSE,Missingness
Q9H074,PAIP1,Polyadenylate-binding protein-interacting protein 1,TRUE,FALSE,Missingness
Q8NCA5,FAM98A,Protein FAM98A,TRUE,FALSE,Missingness
Q9NP81,SARS2,"Serine--tRNA ligase, mitochondrial",TRUE,FALSE,Missingness
Q9BZE1,MRPL37,"39S ribosomal protein L37, mitochondrial",TRUE,FALSE,Missingness
P33316,DUT,"Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial",TRUE,FALSE,Missingness
Q9BW91,NUDT9,"ADP-ribose pyrophosphatase, mitochondrial",TRUE,FALSE,Missingness
A3KMH1,VWA8,von Willebrand factor A domain-containing protein 8,TRUE,FALSE,Missingness
Q8N6M3,FITM2,Fat storage-inducing transmembrane protein 2,TRUE,FALSE,Missingness
P35052,GPC1,Glypican-1,TRUE,FALSE,Missingness
A0A0C4DH24,IGKV6-21,Immunoglobulin kappa variable 6-21,FALSE,FALSE,Contaminant
P50897,PPT1,Palmitoyl-protein thioesterase 1,TRUE,FALSE,Missingness
Q15111,PLCL1,Inactive phospholipase C-like protein 1,TRUE,FALSE,Missingness
Q96B96,TMEM159,Promethin,TRUE,FALSE,Missingness
P61513,RPL37A,60S ribosomal protein L37a,TRUE,FALSE,Missingness
P42574,CASP3,Caspase-3,TRUE,FALSE,Missingness
P50440,GATM,"Glycine amidinotransferase, mitochondrial",TRUE,FALSE,Missingness
Q9UGM6,WARS2,"Tryptophan--tRNA ligase, mitochondrial",TRUE,FALSE,Missingness
Q9Y6I3,EPN1,Epsin-1,TRUE,FALSE,Missingness
Q9BZV2,SLC19A3,Thiamine transporter 2,FALSE,FALSE,Contaminant
Q9BTY7,HGH1,Protein HGH1 homolog,TRUE,FALSE,Missingness
Q9Y2B9,PKIG,cAMP-dependent protein kinase inhibitor gamma,TRUE,FALSE,Missingness
P57737,CORO7,Coronin-7,TRUE,FALSE,Missingness
Q16644,MAPKAPK3,MAP kinase-activated protein kinase 3,TRUE,FALSE,Missingness
Q9HA77,CARS2,"Probable cysteine--tRNA ligase, mitochondrial",TRUE,FALSE,Missingness
Q96A57,TMEM230,Transmembrane protein 230,TRUE,FALSE,Missingness
Q8WVI0,SMIM4,Small integral membrane protein 4,TRUE,FALSE,Missingness
P36980,CFHR2,Complement factor H-related protein 2,FALSE,FALSE,Contaminant
Q9UQ13,SHOC2,Leucine-rich repeat protein SHOC-2,TRUE,FALSE,Missingness
Q9HCB6,SPON1,Spondin-1,FALSE,FALSE,Contaminant
Q9H2G2,SLK,STE20-like serine/threonine-protein kinase,TRUE,FALSE,Missingness
Q9BYD6,MRPL1,"39S ribosomal protein L1, mitochondrial",TRUE,FALSE,Missingness
Q6YP21,KYAT3,Kynurenine--oxoglutarate transaminase 3,TRUE,FALSE,Missingness
Q5SRE7,PHYHD1,Phytanoyl-CoA dioxygenase domain-containing protein 1,TRUE,FALSE,Missingness
Q9BYD1,MRPL13,"39S ribosomal protein L13, mitochondrial",TRUE,FALSE,Missingness
Q8N9N7,LRRC57,Leucine-rich repeat-containing protein 57,TRUE,FALSE,Missingness
P01721,IGLV6-57,Immunoglobulin lambda variable 6-57,FALSE,FALSE,Contaminant
Q9Y2S2,CRYL1,Lambda-crystallin homolog,TRUE,FALSE,Missingness
A8MXV4,NUDT19,Nucleoside diphosphate-linked moiety X motif 19,TRUE,FALSE,Missingness
Q96MW1,CCDC43,Coiled-coil domain-containing protein 43,TRUE,FALSE,Missingness
P55145,MANF,Mesencephalic astrocyte-derived neurotrophic factor,TRUE,FALSE,Missingness
Q9UQN3,CHMP2B,Charged multivesicular body protein 2b,TRUE,FALSE,Missingness
Q9Y5R8,TRAPPC1,Trafficking protein particle complex subunit 1,TRUE,FALSE,Missingness
P10109,FDX1,"Adrenodoxin, mitochondrial",TRUE,FALSE,Missingness
Q15165,PON2,Serum paraoxonase/arylesterase 2,TRUE,FALSE,Missingness
P20338,RAB4A,Ras-related protein Rab-4A,TRUE,FALSE,Missingness
P49356,FNTB,Protein farnesyltransferase subunit beta,TRUE,FALSE,Missingness
Q96EM0,L3HYPDH,Trans-3-hydroxy-L-proline dehydratase,TRUE,FALSE,Missingness
O00203,AP3B1,AP-3 complex subunit beta-1,TRUE,FALSE,Missingness
O95630,STAMBP,STAM-binding protein,TRUE,FALSE,Missingness
Q7Z4G1,COMMD6,COMM domain-containing protein 6,TRUE,FALSE,Missingness
Q9Y3D3,MRPS16,"28S ribosomal protein S16, mitochondrial",TRUE,FALSE,Missingness
Q86U42,PABPN1,Polyadenylate-binding protein 2,TRUE,FALSE,Missingness
Q14693,LPIN1,Phosphatidate phosphatase LPIN1,TRUE,FALSE,Missingness
P62995,TRA2B,Transformer-2 protein homolog beta,TRUE,FALSE,Missingness
Q9NZJ9,NUDT4,Diphosphoinositol polyphosphate phosphohydrolase 2,TRUE,FALSE,Missingness
P34741,SDC2,Syndecan-2,TRUE,FALSE,Missingness
Q96AP7,ESAM,Endothelial cell-selective adhesion molecule,TRUE,FALSE,Missingness
P00813,ADA,Adenosine deaminase,TRUE,FALSE,Missingness
P49746,THBS3,Thrombospondin-3,TRUE,FALSE,Missingness
Q13033,STRN3,Striatin-3,TRUE,FALSE,Missingness
Q7L592,NDUFAF7,"Protein arginine methyltransferase NDUFAF7, mitochondrial",TRUE,FALSE,Missingness
Q9H9A6,LRRC40,Leucine-rich repeat-containing protein 40,TRUE,FALSE,Missingness
Q9BT73,PSMG3,Proteasome assembly chaperone 3,TRUE,FALSE,Missingness
P50402,EMD,Emerin,TRUE,FALSE,Missingness
P01601,IGKV1D-16,Immunoglobulin kappa variable 1D-16,FALSE,FALSE,Contaminant
Q5JSH3,WDR44,WD repeat-containing protein 44,TRUE,FALSE,Missingness
P78318,IGBP1,Immunoglobulin-binding protein 1,TRUE,FALSE,Missingness
P17252,PRKCA,Protein kinase C alpha type,TRUE,FALSE,Missingness
Q9NVA1,UQCC1,Ubiquinol-cytochrome-c reductase complex assembly factor 1,TRUE,FALSE,Missingness
O96033,MOCS2,Molybdopterin synthase sulfur carrier subunit,FALSE,FALSE,Contaminant
P51398,DAP3,"28S ribosomal protein S29, mitochondrial",TRUE,FALSE,Missingness
Q9Y3B7,MRPL11,"39S ribosomal protein L11, mitochondrial",TRUE,FALSE,Missingness
Q5R3I4,TTC38,Tetratricopeptide repeat protein 38,TRUE,FALSE,Missingness
P78527,PRKDC,DNA-dependent protein kinase catalytic subunit,TRUE,FALSE,Missingness
Q9Y5K8,ATP6V1D,V-type proton ATPase subunit D,TRUE,FALSE,Missingness
O43251,RBFOX2,RNA binding protein fox-1 homolog 2,TRUE,FALSE,Missingness
Q7L775,EPM2AIP1,EPM2A-interacting protein 1,TRUE,FALSE,Missingness
Q9NUQ7,UFSP2,Ufm1-specific protease 2,TRUE,FALSE,Missingness
Q68CZ2,TNS3,Tensin-3,TRUE,FALSE,Missingness
P25686,DNAJB2,DnaJ homolog subfamily B member 2,TRUE,FALSE,Missingness
A6NHX0,CASTOR2,Cytosolic arginine sensor for mTORC1 subunit 2,TRUE,FALSE,Missingness
O94832,MYO1D,Unconventional myosin-Id,TRUE,FALSE,Missingness
Q9Y2R9,MRPS7,"28S ribosomal protein S7, mitochondrial",TRUE,FALSE,Missingness
P31146,CORO1A,Coronin-1A,TRUE,FALSE,Missingness
Q9Y2S7,POLDIP2,Polymerase delta-interacting protein 2,TRUE,FALSE,Missingness
P10398,ARAF,Serine/threonine-protein kinase A-Raf,TRUE,FALSE,Missingness
P82933,MRPS9,"28S ribosomal protein S9, mitochondrial",TRUE,FALSE,Missingness
Q5T4S7,UBR4,E3 ubiquitin-protein ligase UBR4,TRUE,FALSE,Missingness
Q13445,TMED1,Transmembrane emp24 domain-containing protein 1,TRUE,FALSE,Missingness
Q9HD33,MRPL47,"39S ribosomal protein L47, mitochondrial",TRUE,FALSE,Missingness
P47895,ALDH1A3,Aldehyde dehydrogenase family 1 member A3,TRUE,FALSE,Missingness
Q01813,PFKP,"ATP-dependent 6-phosphofructokinase, platelet type",TRUE,FALSE,Missingness
P41252,IARS1,"Isoleucine--tRNA ligase, cytoplasmic",TRUE,FALSE,Missingness
Q99417,MYCBP,c-Myc-binding protein,TRUE,FALSE,Missingness
P48454,PPP3CC,Serine/threonine-protein phosphatase 2B catalytic subunit gamma isoform,TRUE,FALSE,Missingness
Q93062,RBPMS,RNA-binding protein with multiple splicing,TRUE,FALSE,Missingness
Q9Y4X5,ARIH1,E3 ubiquitin-protein ligase ARIH1,TRUE,FALSE,Missingness
Q14444,CAPRIN1,Caprin-1,TRUE,FALSE,Missingness
Q14CX7,NAA25,"N-alpha-acetyltransferase 25, NatB auxiliary subunit",TRUE,FALSE,Missingness
Q8N126,CADM3,Cell adhesion molecule 3,TRUE,FALSE,Missingness
Q9Y3S2,ZNF330,Zinc finger protein 330,TRUE,FALSE,Missingness
Q8NB37,GATD1,Glutamine amidotransferase-like class 1 domain-containing protein 1,TRUE,FALSE,Missingness
O15533,TAPBP,Tapasin,TRUE,FALSE,Missingness
O15230,LAMA5,Laminin subunit alpha-5,TRUE,FALSE,Missingness
Q9P0I2,EMC3,ER membrane protein complex subunit 3,TRUE,FALSE,Missingness
Q8N163,CCAR2,Cell cycle and apoptosis regulator protein 2,TRUE,FALSE,Missingness
Q9UPR0,PLCL2,Inactive phospholipase C-like protein 2,TRUE,FALSE,Missingness
P34096,RNASE4,Ribonuclease 4,TRUE,FALSE,Missingness
Q13435,SF3B2,Splicing factor 3B subunit 2,TRUE,FALSE,Missingness
Q9Y676,MRPS18B,"28S ribosomal protein S18b, mitochondrial",TRUE,FALSE,Missingness
Q8IYB8,SUPV3L1,"ATP-dependent RNA helicase SUPV3L1, mitochondrial",TRUE,FALSE,Missingness
Q86VS8,HOOK3,Protein Hook homolog 3,TRUE,FALSE,Missingness
P46379,BAG6,Large proline-rich protein BAG6,TRUE,FALSE,Missingness
Q8IWB7,WDFY1,WD repeat and FYVE domain-containing protein 1,TRUE,FALSE,Missingness
Q96C86,DCPS,m7GpppX diphosphatase,TRUE,FALSE,Missingness
P13674,P4HA1,Prolyl 4-hydroxylase subunit alpha-1,TRUE,FALSE,Missingness
Q6ZMJ2,SCARA5,Scavenger receptor class A member 5,TRUE,FALSE,Missingness
Q8WU76,SCFD2,Sec1 family domain-containing protein 2,TRUE,FALSE,Missingness
Q5TAQ9,DCAF8,DDB1- and CUL4-associated factor 8,TRUE,FALSE,Missingness
Q9H3P7,ACBD3,Golgi resident protein GCP60,TRUE,FALSE,Missingness
Q9BUP0,EFHD1,EF-hand domain-containing protein D1,TRUE,FALSE,Missingness
Q9Y5A7,NUB1,NEDD8 ultimate buster 1,TRUE,FALSE,Missingness
Q5TEU4,NDUFAF5,"Arginine-hydroxylase NDUFAF5, mitochondrial",TRUE,FALSE,Missingness
Q14318,FKBP8,Peptidyl-prolyl cis-trans isomerase FKBP8,TRUE,FALSE,Missingness
Q04756,HGFAC,Hepatocyte growth factor activator,FALSE,FALSE,Contaminant
P22413,ENPP1,Ectonucleotide pyrophosphatase/phosphodiesterase family member 1,TRUE,FALSE,Missingness
P16333,NCK1,Cytoplasmic protein NCK1,TRUE,FALSE,Missingness
P04278,SHBG,Sex hormone-binding globulin,FALSE,FALSE,Contaminant
P84085,ARF5,ADP-ribosylation factor 5,TRUE,FALSE,Missingness
Q9BV20,MRI1,Methylthioribose-1-phosphate isomerase,TRUE,FALSE,Missingness
P07711,CTSL,Cathepsin L1,TRUE,FALSE,Missingness
Q53HC9,EIPR1,EARP and GARP complex-interacting protein 1,TRUE,FALSE,Missingness
Q9Y3E1,HDGFL3,Hepatoma-derived growth factor-related protein 3,TRUE,FALSE,Missingness
O60669,SLC16A7,Monocarboxylate transporter 2,TRUE,FALSE,Missingness
A0A0A0MS14,IGHV1-45,Immunoglobulin heavy variable 1-45,FALSE,FALSE,Contaminant
Q96GC5,MRPL48,"39S ribosomal protein L48, mitochondrial",TRUE,FALSE,Missingness
O75884,RBBP9,Serine hydrolase RBBP9,TRUE,FALSE,Missingness
Q13685,AAMP,Angio-associated migratory cell protein,TRUE,FALSE,Missingness
Q9H488,POFUT1,GDP-fucose protein O-fucosyltransferase 1,TRUE,FALSE,Missingness
Q7Z2W9,MRPL21,"39S ribosomal protein L21, mitochondrial",TRUE,FALSE,Missingness
A0A075B6S6,IGKV2D-30,Immunoglobulin kappa variable 2D-30,FALSE,FALSE,Contaminant
P15289,ARSA,Arylsulfatase A,TRUE,FALSE,Missingness
Q5VVQ6,YOD1,Ubiquitin thioesterase OTU1,TRUE,FALSE,Missingness
Q6NW29,RWDD4,RWD domain-containing protein 4,TRUE,FALSE,Missingness
Q5MNZ9,WIPI1,WD repeat domain phosphoinositide-interacting protein 1,TRUE,FALSE,Missingness
P48740,MASP1,Mannan-binding lectin serine protease 1,TRUE,FALSE,Missingness
O76076,CCN5,CCN family member 5,TRUE,FALSE,Missingness
Q96EY7,PTCD3,"Pentatricopeptide repeat domain-containing protein 3, mitochondrial",TRUE,FALSE,Missingness
Q07699,SCN1B,Sodium channel subunit beta-1,TRUE,FALSE,Missingness
O14562,UBFD1,Ubiquitin domain-containing protein UBFD1,TRUE,FALSE,Missingness
P49406,MRPL19,"39S ribosomal protein L19, mitochondrial",TRUE,FALSE,Missingness
Q13620,CUL4B,Cullin-4B,TRUE,FALSE,Missingness
O94788,ALDH1A2,Retinal dehydrogenase 2,TRUE,FALSE,Missingness
Q9NS69,TOMM22,Mitochondrial import receptor subunit TOM22 homolog,TRUE,FALSE,Missingness
O14657,TOR1B,Torsin-1B,TRUE,FALSE,Missingness
A8MSI8,LYRM9,LYR motif-containing protein 9,TRUE,FALSE,Missingness
P52594,AGFG1,Arf-GAP domain and FG repeat-containing protein 1,TRUE,FALSE,Missingness
Q6P1L8,MRPL14,"39S ribosomal protein L14, mitochondrial",TRUE,FALSE,Missingness
P50336,PPOX,Protoporphyrinogen oxidase,TRUE,FALSE,Missingness
Q15382,RHEB,GTP-binding protein Rheb,TRUE,FALSE,Missingness
Q66K74,MAP1S,Microtubule-associated protein 1S,TRUE,FALSE,Missingness
Q9GZT4,SRR,Serine racemase,TRUE,FALSE,Missingness
O94966,USP19,Ubiquitin carboxyl-terminal hydrolase 19,TRUE,FALSE,Missingness
P57772,EEFSEC,Selenocysteine-specific elongation factor,TRUE,FALSE,Missingness
Q9Y5Y2,NUBP2,Cytosolic Fe-S cluster assembly factor NUBP2,TRUE,FALSE,Missingness
P30047,GCHFR,GTP cyclohydrolase 1 feedback regulatory protein,TRUE,FALSE,Missingness
P24311,COX7B,"Cytochrome c oxidase subunit 7B, mitochondrial",TRUE,FALSE,Missingness
Q9BSH5,HDHD3,Haloacid dehalogenase-like hydrolase domain-containing protein 3,TRUE,FALSE,Missingness
Q15637,SF1,Splicing factor 1,TRUE,FALSE,Missingness
Q9NVS2,MRPS18A,"39S ribosomal protein S18a, mitochondrial",TRUE,FALSE,Missingness
Q16822,PCK2,"Phosphoenolpyruvate carboxykinase [GTP], mitochondrial",TRUE,FALSE,Missingness
O75190,DNAJB6,DnaJ homolog subfamily B member 6,TRUE,FALSE,Missingness
Q969Z0,TBRG4,FAST kinase domain-containing protein 4,TRUE,FALSE,Missingness
Q96DV4,MRPL38,"39S ribosomal protein L38, mitochondrial",TRUE,FALSE,Missingness
Q15599,SLC9A3R2,Na(+)/H(+) exchange regulatory cofactor NHE-RF2,TRUE,FALSE,Missingness
Q9Y5S9,RBM8A,RNA-binding protein 8A,TRUE,FALSE,Missingness
O95749,GGPS1,Geranylgeranyl pyrophosphate synthase,TRUE,FALSE,Missingness
O14672,ADAM10,Disintegrin and metalloproteinase domain-containing protein 10,TRUE,FALSE,Missingness
Q8WXX5,DNAJC9,DnaJ homolog subfamily C member 9,TRUE,FALSE,Missingness
O00418,EEF2K,Eukaryotic elongation factor 2 kinase,TRUE,FALSE,Missingness
P28330,ACADL,"Long-chain specific acyl-CoA dehydrogenase, mitochondrial",TRUE,FALSE,Missingness
Q04695,KRT17,"Keratin, type I cytoskeletal 17",FALSE,FALSE,Contaminant
O95487,SEC24B,Protein transport protein Sec24B,TRUE,FALSE,Missingness
P10415,BCL2,Apoptosis regulator Bcl-2,TRUE,FALSE,Missingness
Q05519,SRSF11,Serine/arginine-rich splicing factor 11,TRUE,FALSE,Missingness
P22748,CA4,Carbonic anhydrase 4,TRUE,FALSE,Missingness
Q9Y6X5,ENPP4,Bis(5'-adenosyl)-triphosphatase ENPP4,TRUE,FALSE,Missingness
O95352,ATG7,Ubiquitin-like modifier-activating enzyme ATG7,TRUE,FALSE,Missingness
Q13370,PDE3B,"cGMP-inhibited 3',5'-cyclic phosphodiesterase B",FALSE,FALSE,Contaminant
P49903,SEPHS1,"Selenide, water dikinase 1",TRUE,FALSE,Missingness
P25774,CTSS,Cathepsin S,TRUE,FALSE,Missingness
Q86WR0,CCDC25,Coiled-coil domain-containing protein 25,TRUE,FALSE,Missingness
P01112,HRAS,GTPase HRas,TRUE,FALSE,Missingness
P56192,MARS1,"Methionine--tRNA ligase, cytoplasmic",TRUE,FALSE,Missingness
Q9Y365,STARD10,START domain-containing protein 10,TRUE,FALSE,Missingness
P61966,AP1S1,AP-1 complex subunit sigma-1A,TRUE,FALSE,Missingness
Q6PGP7,TTC37,Tetratricopeptide repeat protein 37,TRUE,FALSE,Missingness
Q9UQ49,NEU3,Sialidase-3,TRUE,FALSE,Missingness
Q8WUR7,C15orf40,UPF0235 protein C15orf40,TRUE,FALSE,Missingness
Q8N1F7,NUP93,Nuclear pore complex protein Nup93,TRUE,FALSE,Missingness
P27708,CAD,CAD protein,TRUE,FALSE,Missingness
Q9NQG5,RPRD1B,Regulation of nuclear pre-mRNA domain-containing protein 1B,TRUE,FALSE,Missingness
P35442,THBS2,Thrombospondin-2,TRUE,FALSE,Missingness
Q9UHD1,CHORDC1,Cysteine and histidine-rich domain-containing protein 1,TRUE,FALSE,Missingness
Q9HAV0,GNB4,Guanine nucleotide-binding protein subunit beta-4,TRUE,FALSE,Missingness
Q15286,RAB35,Ras-related protein Rab-35,TRUE,FALSE,Missingness
Q9Y4P1,ATG4B,Cysteine protease ATG4B,TRUE,FALSE,Missingness
Q4U2R6,MRPL51,"39S ribosomal protein L51, mitochondrial",TRUE,FALSE,Missingness
Q9GZY8,MFF,Mitochondrial fission factor,TRUE,FALSE,Missingness
Q8N0U4,FAM185A,Protein FAM185A,TRUE,FALSE,Missingness
Q9NZB2,FAM120A,Constitutive coactivator of PPAR-gamma-like protein 1,TRUE,FALSE,Missingness
O75027,ABCB7,"ATP-binding cassette sub-family B member 7, mitochondrial",TRUE,FALSE,Missingness
P07947,YES1,Tyrosine-protein kinase Yes,TRUE,FALSE,Missingness
Q7L523,RRAGA,Ras-related GTP-binding protein A,TRUE,FALSE,Missingness
O95671,ASMTL,Probable bifunctional dTTP/UTP pyrophosphatase/methyltransferase protein,TRUE,FALSE,Missingness
Q32MK0,MYLK3,Myosin light chain kinase 3,TRUE,FALSE,Missingness
Q9Y399,MRPS2,"28S ribosomal protein S2, mitochondrial",TRUE,FALSE,Missingness
Q8TCZ2,CD99L2,CD99 antigen-like protein 2,TRUE,FALSE,Missingness
O14548,COX7A2L,"Cytochrome c oxidase subunit 7A-related protein, mitochondrial",TRUE,FALSE,Missingness
P35222,CTNNB1,Catenin beta-1,TRUE,FALSE,Missingness
Q8N2F6,ARMC10,Armadillo repeat-containing protein 10,TRUE,FALSE,Missingness
Q8WXF1,PSPC1,Paraspeckle component 1,TRUE,FALSE,Missingness
Q7Z460,CLASP1,CLIP-associating protein 1,TRUE,FALSE,Missingness
P00414,MT-CO3,Cytochrome c oxidase subunit 3,TRUE,FALSE,Missingness
P15153,RAC2,Ras-related C3 botulinum toxin substrate 2,TRUE,FALSE,Missingness
Q06210,GFPT1,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1,TRUE,FALSE,Missingness
P51608,MECP2,Methyl-CpG-binding protein 2,TRUE,FALSE,Missingness
Q13232,NME3,Nucleoside diphosphate kinase 3,TRUE,FALSE,Missingness
Q86Y56,DNAAF5,"Dynein assembly factor 5, axonemal",TRUE,FALSE,Missingness
P51808,DYNLT3,Dynein light chain Tctex-type 3,TRUE,FALSE,Missingness
P49590,HARS2,"Histidine--tRNA ligase, mitochondrial",TRUE,FALSE,Missingness
Q92995,USP13,Ubiquitin carboxyl-terminal hydrolase 13,TRUE,FALSE,Missingness
Q9BV57,ADI1,"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase",TRUE,FALSE,Missingness
A0A0U1RRL7,MMP24OS,Protein MMP24OS,TRUE,FALSE,Missingness
O75764,TCEA3,Transcription elongation factor A protein 3,TRUE,FALSE,Missingness
Q63HQ2,EGFLAM,Pikachurin,TRUE,FALSE,Missingness
Q8TC12,RDH11,Retinol dehydrogenase 11,TRUE,FALSE,Missingness
P07311,ACYP1,Acylphosphatase-1,TRUE,FALSE,Missingness
O95425,SVIL,Supervillin,TRUE,FALSE,Missingness
P53367,ARFIP1,Arfaptin-1,TRUE,FALSE,Missingness
P17812,CTPS1,CTP synthase 1,TRUE,FALSE,Missingness
P84022,SMAD3,Mothers against decapentaplegic homolog 3,TRUE,FALSE,Missingness
P54108,CRISP3,Cysteine-rich secretory protein 3,FALSE,FALSE,Contaminant
P36551,CPOX,"Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial",TRUE,FALSE,Missingness
P04156,PRNP,Major prion protein,TRUE,FALSE,Missingness
O43847,NRDC,Nardilysin,TRUE,FALSE,Missingness
Q8N766,EMC1,ER membrane protein complex subunit 1,TRUE,FALSE,Missingness
Q9NX55,HYPK,Huntingtin-interacting protein K,TRUE,FALSE,Missingness
Q9P015,MRPL15,"39S ribosomal protein L15, mitochondrial",TRUE,FALSE,Missingness
Q15006,EMC2,ER membrane protein complex subunit 2,TRUE,FALSE,Missingness
Q9ULP9,TBC1D24,TBC1 domain family member 24,TRUE,FALSE,Missingness
Q96RL7,VPS13A,Vacuolar protein sorting-associated protein 13A,TRUE,FALSE,Missingness
Q9BQE5,APOL2,Apolipoprotein L2,TRUE,FALSE,Missingness
O75170,PPP6R2,Serine/threonine-protein phosphatase 6 regulatory subunit 2,TRUE,FALSE,Missingness
Q9UH62,ARMCX3,Armadillo repeat-containing X-linked protein 3,TRUE,FALSE,Missingness
P52306,RAP1GDS1,Rap1 GTPase-GDP dissociation stimulator 1,TRUE,FALSE,Missingness
O75116,ROCK2,Rho-associated protein kinase 2,TRUE,FALSE,Missingness
P80188,LCN2,Neutrophil gelatinase-associated lipocalin,TRUE,FALSE,Missingness
O60716,CTNND1,Catenin delta-1,TRUE,FALSE,Missingness
P20290,BTF3,Transcription factor BTF3,TRUE,FALSE,Missingness
A2RTX5,TARS3,"Threonine--tRNA ligase 2, cytoplasmic",TRUE,FALSE,Missingness
Q9Y2E4,DIP2C,Disco-interacting protein 2 homolog C,TRUE,FALSE,Missingness
P22694,PRKACB,cAMP-dependent protein kinase catalytic subunit beta,TRUE,FALSE,Missingness
P52789,HK2,Hexokinase-2,TRUE,FALSE,Missingness
Q9NYK5,MRPL39,"39S ribosomal protein L39, mitochondrial",TRUE,FALSE,Missingness
Q9NX47,MARCHF5,E3 ubiquitin-protein ligase MARCHF5,TRUE,FALSE,Missingness
Q9Y5J9,TIMM8B,Mitochondrial import inner membrane translocase subunit Tim8 B,TRUE,FALSE,Missingness
Q9BUE6,ISCA1,"Iron-sulfur cluster assembly 1 homolog, mitochondrial",TRUE,FALSE,Missingness
Q15126,PMVK,Phosphomevalonate kinase,TRUE,FALSE,Missingness
P29762,CRABP1,Cellular retinoic acid-binding protein 1,FALSE,FALSE,Contaminant
Q969Q5,RAB24,Ras-related protein Rab-24,TRUE,FALSE,Missingness
Q96ND0,FAM210A,Protein FAM210A,TRUE,FALSE,Missingness
Q92896,GLG1,Golgi apparatus protein 1,TRUE,FALSE,Missingness
Q13501,SQSTM1,Sequestosome-1,TRUE,FALSE,Missingness
Q9Y6G3,MRPL42,"39S ribosomal protein L42, mitochondrial",TRUE,FALSE,Missingness
O60271,SPAG9,C-Jun-amino-terminal kinase-interacting protein 4,TRUE,FALSE,Missingness
Q8TEB1,DCAF11,DDB1- and CUL4-associated factor 11,TRUE,FALSE,Missingness
Q7Z3Z0,KRT25,"Keratin, type I cytoskeletal 25",FALSE,FALSE,Contaminant
Q9BUH6,PAXX,Protein PAXX,TRUE,FALSE,Missingness
P56945,BCAR1,Breast cancer anti-estrogen resistance protein 1,TRUE,FALSE,Missingness
O95295,SNAPIN,SNARE-associated protein Snapin,TRUE,FALSE,Missingness
Q9NPF4,OSGEP,Probable tRNA N6-adenosine threonylcarbamoyltransferase,TRUE,FALSE,Missingness
O96005,CLPTM1,Cleft lip and palate transmembrane protein 1,TRUE,FALSE,Missingness
Q8TCC3,MRPL30,"39S ribosomal protein L30, mitochondrial",TRUE,FALSE,Missingness
Q99622,C12orf57,Protein C10,TRUE,FALSE,Missingness
Q86TU7,SETD3,Actin-histidine N-methyltransferase,TRUE,FALSE,Missingness
Q8IYQ7,THNSL1,Threonine synthase-like 1,TRUE,FALSE,Missingness
Q8WUK0,PTPMT1,Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1,TRUE,FALSE,Missingness
O15126,SCAMP1,Secretory carrier-associated membrane protein 1,TRUE,FALSE,Missingness
P41219,PRPH,Peripherin,FALSE,FALSE,Contaminant
P14209,CD99,CD99 antigen,TRUE,FALSE,Missingness
P53609,PGGT1B,Geranylgeranyl transferase type-1 subunit beta,TRUE,FALSE,Missingness
O15247,CLIC2,Chloride intracellular channel protein 2,TRUE,FALSE,Missingness
Q9NQ88,TIGAR,"Fructose-2,6-bisphosphatase TIGAR",TRUE,FALSE,Missingness
Q16186,ADRM1,Proteasomal ubiquitin receptor ADRM1,TRUE,FALSE,Missingness
P52434,POLR2H,"DNA-directed RNA polymerases I, II, and III subunit RPABC3",TRUE,FALSE,Missingness
Q5EBM0,CMPK2,"UMP-CMP kinase 2, mitochondrial",FALSE,FALSE,Contaminant
Q96LW7,CARD19,Caspase recruitment domain-containing protein 19,TRUE,FALSE,Missingness
P40855,PEX19,Peroxisomal biogenesis factor 19,TRUE,FALSE,Missingness
