"","uniprot_id","protein","gene","description","in_hpa_muscle","in_blood_blacklist","flag_source"
"220","Q86UX2","ITIH5_HUMAN","ITIH5","Inter-alpha-trypsin inhibitor heavy chain H5",FALSE,FALSE,"HPA"
"221","Q86V81","THOC4_HUMAN","ALYREF","THO complex subunit 4",FALSE,FALSE,"HPA"
"222","Q8IUL8","CILP2_HUMAN","CILP2","Cartilage intermediate layer protein 2",FALSE,FALSE,"HPA"
"223","Q8IXS6","PALM2_HUMAN","PALM2","Paralemmin-2",FALSE,FALSE,"HPA"
"224","Q8IYJ1","CPNE9_HUMAN","CPNE9","Copine-9",FALSE,FALSE,"HPA"
"225","Q92736","RYR2_HUMAN","RYR2","Ryanodine receptor 2",FALSE,FALSE,"HPA"
"226","Q969L2","MAL2_HUMAN","MAL2","Protein MAL2",FALSE,FALSE,"HPA"
"227","Q96IY4","CBPB2_HUMAN","CPB2","Carboxypeptidase B2",FALSE,FALSE,"HPA"
"228","Q96PD5","PGRP2_HUMAN","PGLYRP2","N-acetylmuramoyl-L-alanine amidase",FALSE,FALSE,"HPA"
"229","Q9BRJ2","RM45_HUMAN","MRPL45","39S ribosomal protein L45, mitochondrial",FALSE,FALSE,"HPA"
"230","Q9BRK5","CAB45_HUMAN","SDF4","45 kDa calcium-binding protein",FALSE,FALSE,"HPA"
"231","Q9BZV2","S19A3_HUMAN","SLC19A3","Thiamine transporter 2",FALSE,FALSE,"HPA"
"232","Q9H1E1","RNAS7_HUMAN","RNASE7","Ribonuclease 7",FALSE,FALSE,"HPA"
"233","Q9H4B7","TBB1_HUMAN","TUBB1","Tubulin beta-1 chain",FALSE,FALSE,"HPA"
"234","Q9HCB6","SPON1_HUMAN","SPON1","Spondin-1",FALSE,FALSE,"HPA"
"235","Q9NZD4","AHSP_HUMAN","AHSP","Alpha-hemoglobin-stabilizing protein",FALSE,FALSE,"HPA"
"236","Q9P121","NTRI_HUMAN","NTM","Neurotrimin",FALSE,FALSE,"HPA"
"237","Q9P289","STK26_HUMAN","STK26","Serine/threonine-protein kinase 26",FALSE,FALSE,"HPA"
"238","Q9UDX3","S14L4_HUMAN","SEC14L4","SEC14-like protein 4",FALSE,FALSE,"HPA"
"239","Q9UGM5","FETUB_HUMAN","FETUB","Fetuin-B",FALSE,FALSE,"HPA"
"240","Q9Y2D5","AKAP2_HUMAN","AKAP2","A-kinase anchor protein 2",FALSE,FALSE,"HPA"
"241","Q9Y617","SERC_HUMAN","PSAT1","Phosphoserine aminotransferase",FALSE,FALSE,"HPA"
