sample_id,array_weight
CR006_T1,0.9592
CR008_T1,0.6728
CR009_T1,1.4305
CR009_T2,1.3638
CR010_T1,0.4554
CR010_T2,0.5713
CR015_T1,1.1055
CR015_T2,0.9131
CR017_T1,1.1395
CR017_T2,1.1641
CR018_T1,2.0874
CR018_T2,1.1717
CR022_T1,1.1706
CR022_T2,0.736
CR072_T1,0.5876
CR072_T2,1.4154
CR149_T1,1.4365
CR149_T2,1.3678
CR163_T1,1.3972
CR163_T2,0.7396
CR383_T1,0.6295
CR386_T2,1.0179
