criterion,n_up,n_down,n_total,method,contrast
FDR_05,0,0,0,rlr_RF,Training_SURV
FDR_10,1,0,1,rlr_RF,Training_SURV
pi_05,1,0,1,rlr_RF,Training_SURV
nominal_p05,31,8,39,cycloess_RF,Baseline_SURVvCTL
FDR_05,0,0,0,cycloess_RF,Baseline_SURVvCTL
FDR_10,0,0,0,cycloess_RF,Baseline_SURVvCTL
pi_05,1,0,1,cycloess_RF,Baseline_SURVvCTL
nominal_p05,48,16,64,cycloess_RF,Training_SURVvCTL
FDR_05,15,3,18,cycloess_RF,Training_SURVvCTL
FDR_10,28,7,35,cycloess_RF,Training_SURVvCTL
pi_05,33,0,33,cycloess_RF,Training_SURVvCTL
nominal_p05,25,11,36,cycloess_RF,Training_SURV
FDR_05,0,0,0,cycloess_RF,Training_SURV
FDR_10,0,0,0,cycloess_RF,Training_SURV
pi_05,1,0,1,cycloess_RF,Training_SURV
nominal_p05,29,10,39,vsn_knn,Baseline_SURVvCTL
FDR_05,0,0,0,vsn_knn,Baseline_SURVvCTL
FDR_10,0,0,0,vsn_knn,Baseline_SURVvCTL
pi_05,2,0,2,vsn_knn,Baseline_SURVvCTL
nominal_p05,43,19,62,vsn_knn,Training_SURVvCTL
FDR_05,15,2,17,vsn_knn,Training_SURVvCTL
FDR_10,27,8,35,vsn_knn,Training_SURVvCTL
pi_05,32,0,32,vsn_knn,Training_SURVvCTL
nominal_p05,22,9,31,vsn_knn,Training_SURV
FDR_05,0,0,0,vsn_knn,Training_SURV
FDR_10,0,0,0,vsn_knn,Training_SURV
pi_05,0,0,0,vsn_knn,Training_SURV
nominal_p05,27,13,40,rlr_knn,Baseline_SURVvCTL
FDR_05,0,0,0,rlr_knn,Baseline_SURVvCTL
FDR_10,0,0,0,rlr_knn,Baseline_SURVvCTL
pi_05,0,0,0,rlr_knn,Baseline_SURVvCTL
nominal_p05,40,26,66,rlr_knn,Training_SURVvCTL
FDR_05,15,5,20,rlr_knn,Training_SURVvCTL
FDR_10,27,11,38,rlr_knn,Training_SURVvCTL
pi_05,32,0,32,rlr_knn,Training_SURVvCTL
nominal_p05,21,16,37,rlr_knn,Training_SURV
FDR_05,0,0,0,rlr_knn,Training_SURV
FDR_10,0,0,0,rlr_knn,Training_SURV
pi_05,0,0,0,rlr_knn,Training_SURV
nominal_p05,30,8,38,cycloess_knn,Baseline_SURVvCTL
FDR_05,0,0,0,cycloess_knn,Baseline_SURVvCTL
FDR_10,0,0,0,cycloess_knn,Baseline_SURVvCTL
pi_05,0,0,0,cycloess_knn,Baseline_SURVvCTL
nominal_p05,46,14,60,cycloess_knn,Training_SURVvCTL
FDR_05,16,3,19,cycloess_knn,Training_SURVvCTL
FDR_10,27,7,34,cycloess_knn,Training_SURVvCTL
pi_05,32,0,32,cycloess_knn,Training_SURVvCTL
nominal_p05,24,9,33,cycloess_knn,Training_SURV
FDR_05,0,0,0,cycloess_knn,Training_SURV
FDR_10,0,0,0,cycloess_knn,Training_SURV
pi_05,0,0,0,cycloess_knn,Training_SURV
