uniprot_id,gene,n_miss,pct_miss,mean_int,class
P06276,BCHE,0,0,22.30272735751891,Complete
P06312,IGKV4-1,3,10.344827586206897,21.310425479682998,MNAR
P06331,IGHV4-34,2,6.896551724137931,20.87140754847089,MNAR
P06396,GSN,0,0,28.04093067256384,Complete
P06681,C2,0,0,25.726957109825936,Complete
P06702,S100A9,0,0,21.48829640611485,Complete
P06727,APOA4,0,0,28.901315186603885,Complete
P06733,ENO1,7,24.137931034482758,17.410349128636316,MNAR
P07195,LDHB,0,0,19.44864541353162,Complete
P07225,PROS1,0,0,26.19791772089987,Complete
P07333,CSF1R,6,20.689655172413794,14.945884182543862,MNAR
P07339,CTSD,7,24.137931034482758,18.475438109360145,MNAR
P07357,C8A,0,0,26.773691933247328,Complete
P07358,C8B,0,0,25.6343873484495,Complete
P07359,GP1BA,1,3.4482758620689653,19.07891035487153,MNAR
P07360,C8G,0,0,25.836831732172755,Complete
P07437,TUBB,7,24.137931034482758,21.107714215641845,MNAR
P07737,PFN1,2,6.896551724137931,20.943882347813002,MNAR
P07951,TPM2,3,10.344827586206897,21.43498859970113,MNAR
P07996,THBS1,0,0,21.672939106630277,Complete
P08185,SERPINA6,0,0,25.632452193494224,Complete
P08294,SOD3,7,24.137931034482758,20.259431223307264,MNAR
P08514,ITGA2B,4,13.793103448275861,19.936629700260426,MNAR
P08519,LPA,2,6.896551724137931,24.944597922717545,MNAR
P08571,CD14,0,0,23.67601518376069,Complete
P08603,CFH,0,0,29.32664934467392,Complete
P08697,SERPINF2,0,0,27.06267424622999,Complete
P08709,F7,0,0,21.29777002714995,Complete
P09172,DBH,1,3.4482758620689653,20.756516859744558,MNAR
P09871,C1S,0,0,26.6198741178586,Complete
P0C0L4,C4A,0,0,26.415605011901867,Complete
P0C0L5,C4B,0,0,29.464741577049757,Complete
P0C7V6,SUPT20HL2,4,13.793103448275861,18.141257522744993,MNAR
P0DJI8,SAA1,2,6.896551724137931,22.328380737714866,MNAR
P0DOY2,IGLC2,0,0,24.530595977707403,Complete
P10275,AR,3,10.344827586206897,28.102066296563535,MNAR
