"uniprot","uniprot_id","protein","gene","description","n_seq","sum_spectra","Gene","Ensembl","in_hpa_muscle","in_blood_blacklist","CR006_T1","CR006_T2","CR007_T1","CR007_T2","CR008_T1","CR008_T2","CR009_T2","CR010_T2","CR012_T1","CR012_T2","CR015_T1","CR017_T1","CR017_T2","CR018_T1","CR018_T2","CR022_T1","CR022_T2","CR023_T1","CR025_T1","CR025_T2","CR072_T1","CR072_T2","CR149_T1","CR149_T2","CR163_T1","CR163_T2","CR383_T1","CR386_T2","logFC","CI.L","CI.R","average_intensity","t","B","P.Value","adj.P.Val","sig.PVal","sig.FDR","Pi.Val","adj.Pi.Val","DE.adj","DE.nom","DE.pi"
"P02792","P02792","FRIL_HUMAN","FTL","Ferritin light chain",5,6266444,"FTL","ENSG00000087086",TRUE,FALSE,20.6984426860706,22.7839106257268,24.4843067438849,21.1169583822325,21.2029022528494,22.6005102031214,25.0057382423621,24.0987590090888,18.6877855216658,21.4175436725287,22.8604031795951,19.8948244136845,23.2055543104463,20.6712555295208,22.385370054854,21.889913518096,23.4539133317308,24.1587337931943,20.3221504784732,24.529858996975,20.04921773097,21.8358673606736,20.9278799532243,24.4687970319813,20.6632831938524,21.9644504147003,20.3105673047909,24.5134831825447,2.70466530091782,1.69202757382251,3.71730302801313,22.1500850399585,5.47321557485489,3.50320652112922,7.82999618411609e-06,0.0147282228223224,1,1,4.95454019578422,1.11034976302862e-05,"UP","UP","UP"
"P48444","P48444","COPD_HUMAN","ARCN1","Coatomer subunit delta",9,147304,"ARCN1","ENSG00000095139",TRUE,FALSE,16.650721857478,NA,17.2729785695346,17.1716658511302,16.2556724491272,16.9401207103329,17.4739591072065,17.5056847013351,16.9130225356561,17.0260916337633,17.1737330960744,17.0895038845996,17.168182148631,16.9651452162237,17.1165664770782,16.8766160289069,17.2502618322314,17.0610581451325,16.922882774414,17.9229375830141,16.5950593067428,17.8411343849664,16.7900910339423,17.0295945012456,NA,NA,16.6249193155105,17.4984587111668,0.694280872654218,0.410123546547207,0.97843819876123,17.0854424742178,5.0345054423584,2.18301346927206,3.49774077837129e-05,0.032896252020582,1,1,1.02951687743422,0.0934293059308646,"UP","UP","NDE"
