"uniprot","uniprot_id","protein","gene","description","n_seq","sum_spectra","Gene","Ensembl","in_hpa_muscle","CR006_T1","CR006_T2","CR007_T1","CR007_T2","CR008_T1","CR008_T2","CR009_T2","CR010_T2","CR012_T1","CR012_T2","CR015_T1","CR017_T1","CR017_T2","CR018_T1","CR018_T2","CR022_T1","CR022_T2","CR023_T1","CR025_T1","CR025_T2","CR072_T1","CR072_T2","CR149_T1","CR149_T2","CR163_T1","CR163_T2","CR383_T1","CR386_T1","CR386_T2","logFC","CI.L","CI.R","average_intensity","t","B","P.Value","adj.P.Val","sig.PVal","sig.FDR","Pi.Val","adj.Pi.Val","DE.adj","DE.nom","DE.pi"
"P36269","P36269","GGT5_HUMAN","GGT5","Glutathione hydrolase 5 proenzyme",10,408100,"GGT5","ENSG00000099998",TRUE,NA,NA,19.3866328240481,17.1594129785032,17.2928875481839,17.6453614599048,19.2670583856204,NA,17.504783285596,18.1023915370856,19.4653362325496,NA,17.3800612514514,NA,NA,18.6008903515667,18.5124155568553,19.2116429522706,17.9715624234738,18.322925332314,17.1259891334013,18.2939322414793,NA,17.8401524140348,NA,18.8044184664211,NA,19.4987550766238,18.1669915625929,2.64376632737375,1.595549753259,3.6919829014885,18.2776800506988,5.26650039945269,0.845126422016519,3.92829841194995e-05,0.0352011994942741,1,1,3.84256243946782,0.00014369364470079,"UP","UP","UP"
"O14979","O14979","HNRDL_HUMAN","HNRNPDL","Heterogeneous nuclear ribonucleoprotein D-like",4,364775,"HNRNPDL","ENSG00000152795",TRUE,18.3669234021857,17.8381293784081,17.8810822884972,18.1739080954078,18.4326246739397,18.3579641740884,18.2520523291549,18.6076744760248,18.5139902317256,18.8747517412234,19.0310441512555,18.9400664657487,18.6444260206942,18.9354080288418,17.5865057738843,17.3899277031332,18.5553108318829,18.846914232601,18.6330187573156,18.9696382077056,18.2709981630462,18.6528541768436,18.6183501841682,17.4792826837876,18.565660808533,18.4691097805516,18.1139409918373,18.8588376730505,18.1187489904772,1.0741089958757,0.632327150047162,1.51589084170423,18.4130739453798,4.97494961369,2.42664298659355,2.79440651386067e-05,0.0352011994942741,1,1,1.56115570453855,0.0274690914657034,"UP","UP","UP"
