"uniprot","uniprot_id","protein","gene","description","n_seq","sum_spectra","Gene","Ensembl","in_hpa_muscle","in_blood_blacklist","CR006_T1","CR006_T2","CR007_T1","CR007_T2","CR008_T1","CR008_T2","CR009_T2","CR010_T2","CR012_T1","CR012_T2","CR015_T1","CR017_T1","CR017_T2","CR018_T1","CR018_T2","CR022_T1","CR022_T2","CR023_T1","CR025_T1","CR025_T2","CR072_T1","CR072_T2","CR149_T1","CR149_T2","CR163_T1","CR163_T2","CR383_T1","CR386_T1","CR386_T2","PPS02","PPS20","PPS28","PPS31","PPS32","PPS37","PPS40","PPS41","PPS42","PPS44","logFC","CI.L","CI.R","average_intensity","t","B","P.Value","adj.P.Val","sig.PVal","sig.FDR","Pi.Val","adj.Pi.Val","DE.adj","DE.nom","DE.pi"
"P02792","P02792","FRIL_HUMAN","FTL","Ferritin light chain",5,6266444,"FTL","ENSG00000087086",TRUE,FALSE,20.696090017374,22.8330837399115,24.4037807918056,21.0980429654779,21.1789461517985,22.5835117180685,24.9526744825618,24.0738487102034,18.6105129584528,21.3847560841712,22.8512334630064,19.8852733465402,23.1784135746329,20.6939065931573,22.3679623133388,21.8939996083456,23.4455842857647,24.1533940013128,20.3364990592118,24.502355563368,20.0302521640854,21.8520525476749,20.9683279386681,24.452013566703,20.6521586702473,21.9554305890932,20.3349682510067,21.3727997856371,24.5383131749271,19.4568471749184,20.7172342663416,22.193117771796,20.2864853955646,20.4077956406085,20.8439664933077,19.5966064082892,20.1977152664254,21.3924064061818,20.8960476715349,2.46500161222124,1.78007620558342,3.14992701885906,21.7248309900388,7.27225131431481,9.774299503473,7.56891468670895e-09,1.46307120894084e-05,1,1,11.917628425587,1.20884766072446e-12,"UP","UP","UP"
"Q99584","Q99584","S10AD_HUMAN","S100A13","Protein S100-A13",4,4235772,"S100A13","ENSG00000189171",TRUE,FALSE,21.5859553956741,21.9472727099659,21.8116587012965,21.9461730507457,20.831922878209,21.5829569902267,23.3069703508003,21.4886679727296,21.5842415129132,22.4270218789354,22.010479158237,21.5853406763938,22.104959738161,21.6261974082668,21.1757964514556,20.9501021455969,22.1329150410605,22.8688324106724,22.3669972483034,23.3688039231786,20.6544156154001,23.2271785574219,20.7323944722591,22.9216745187302,20.5903152649478,21.9719771448238,21.7826972641992,24.1152443832702,21.2716291350987,20.7269613543151,20.9767787998897,21.3401833337575,21.3883095371325,19.8439023840116,21.35943089406,21.4712073917376,20.5866323839969,20.7855542803055,21.054412207244,0.810796556794092,0.394288092416744,1.22730502117144,21.679593963216,3.93353493322765,0.235315923949011,0.00032236672098804,0.0426984414607892,1,1,1.11045721589964,0.0775430330365087,"UP","UP","NDE"
"Q9BXN1","Q9BXN1","ASPN_HUMAN","ASPN","Asporin",13,2243158,"ASPN","ENSG00000106819",TRUE,FALSE,18.8834733381087,22.5782232115438,20.8606085240291,20.0817820821258,20.8682480420872,19.9640506205371,21.4308545422909,20.6802518312355,19.5506099578707,20.5998825887999,23.0030269241394,17.8744105603349,20.6940998385813,19.5592842881306,19.8646300300341,20.0492690183743,19.9556168022554,22.9111253151671,21.198533597084,22.705125941885,19.752594002322,22.0824083055467,18.868167474562,19.8230213461213,18.5307424932085,NA,NA,22.8763482313618,21.1040452990488,NA,19.0970918445214,18.760450034767,18.5777795449474,17.7810490885959,19.1855916527884,18.7060123750442,18.7808539997827,18.13153054984,18.9763033761009,1.29704838349567,0.6522824540775,1.94181431291385,20.1207526853659,4.07504365697491,0.544161357939154,0.00023156275987804,0.0426984414607892,1,1,1.77642187149731,0.0167331663484561,"UP","UP","UP"
"P04216","P04216","THY1_HUMAN","THY1","Thy-1 membrane glycoprotein",3,916422,"THY1","ENSG00000154096",TRUE,FALSE,17.1100099197285,19.3577284294227,20.6890774547147,19.0277112476556,17.9430915462512,18.6565406454514,20.6924944012268,19.654425491679,17.9584823911382,19.7026957976948,21.2270604115534,17.8976594888356,19.7903146531049,NA,18.9462635955628,19.2274027046174,19.6097360073328,20.9550360369988,19.2227839401745,20.101815035146,18.5566095992308,21.545243575775,17.5664568190968,20.1067550091084,17.0489301404037,NA,NA,21.0011296160401,20.2306956170962,NA,NA,16.2246436680419,16.2951279393692,NA,16.8654798795907,17.2650116944407,15.7104026925154,NA,15.709569818222,1.53035543439741,1.00991132966425,2.05079953913058,18.8092620396006,5.98067104783833,5.39084268748608,9.91203536561175e-07,0.00095799821808637,1,1,4.61958493386794,2.40112663973142e-05,"UP","UP","UP"
"Q16658","Q16658","FSCN1_HUMAN","FSCN1","Fascin",10,604269,"FSCN1","ENSG00000075618",TRUE,FALSE,17.4706572447061,18.2778519441723,19.7984384411392,18.8807519098895,18.4716742391609,18.3215520133109,20.2326841735519,19.4651459660471,18.3840621851105,19.2508232579301,20.5237639978662,18.5064600672201,19.3226750362802,17.4337648705322,19.0765875157873,19.3562801893618,19.1411710236892,20.3250114391168,19.0896150755194,19.954076925706,18.4453238897034,20.8117272188006,18.9674068585336,20.0308136747017,18.3996841814596,18.3930404488013,17.5214110702068,19.5637195876966,19.5687364438374,17.1877608209361,17.6395029529397,18.3597077859467,17.21157044269,17.0882479666406,16.6018324410453,17.6878691723108,16.8487924156922,16.7531103701182,17.2654136758637,0.878217554927232,0.478021234625232,1.27841387522923,18.6058645880518,4.43428875497099,1.60976800293657,6.96457994135503e-05,0.0336563325665982,1,1,1.29355580190427,0.0508679455917636,"UP","UP","NDE"
"P14923","P14923","PLAK_HUMAN","JUP","Junction plakoglobin",1,162339,"JUP","ENSG00000173801",TRUE,FALSE,NA,17.8785156860354,NA,16.7897744698937,17.0414141451412,16.8223640862653,16.6804470779492,17.6870086629646,17.0228382036505,17.7019912844999,18.8330373747579,16.5125427373135,NA,16.3464301924078,NA,17.0882237394249,17.1481233056025,17.2822657449722,NA,17.8883209019549,16.1850446099446,17.7820931536768,NA,17.4914834472359,16.721555660627,17.1317171191208,17.0684859593133,NA,17.0590699045981,16.9350598786593,NA,16.2243835504331,16.9211397057612,17.4404127205129,17.2890359752248,17.2928812709692,16.8300635865094,17.4452309667489,17.1861366351239,0.7062648198788,0.363698636911134,1.04883100284647,17.1524868308804,4.19819224942757,0.696167963533478,0.00019762970537517,0.0426984414607892,1,1,0.967291805815658,0.107822201309252,"UP","UP","NDE"
"P08134","P08134","RHOC_HUMAN","RHOC","Rho-related GTP-binding protein RhoC",2,124368,"RHOC","ENSG00000155366",TRUE,FALSE,NA,NA,16.0502623670847,16.6692825475588,16.2075012295767,16.7211930833573,16.4003159319293,16.8671064287442,16.1005410287328,17.4258935386573,17.2405163803724,16.1440541514312,NA,NA,NA,16.5024059336736,16.437044893132,17.6418572319869,15.8109907357933,18.6014468553623,16.3268685983082,17.0084363501333,NA,16.2635075941846,15.7117314135284,NA,15.6588248807935,18.017180751281,16.6915643893204,15.2276597156072,NA,16.1637827131157,NA,NA,15.3718281469913,16.16494324371,NA,15.9909334370345,15.7205439615842,0.870940421565479,0.43132346310389,1.31055738002707,16.4692220547495,4.05030841617631,0.219707481982494,0.00034447612125761,0.0426984414607892,1,1,1.19282952997502,0.0641461314685895,"UP","UP","NDE"
"Q9BVG4","Q9BVG4","PBDC1_HUMAN","PBDC1","Protein PBDC1",4,50911,"PBDC1","ENSG00000102390",TRUE,FALSE,15.6206688265668,NA,NA,NA,14.8876939463078,16.233541450085,14.6854660394128,16.1362796936394,14.466620227607,NA,15.559974786848,NA,NA,15.0841627992768,NA,NA,NA,15.4939926793934,13.8975313452636,NA,15.2653142069907,15.6190075466381,NA,16.8957602870607,15.0241745444191,16.2789892067464,15.6153415278343,16.3960165809039,16.0655937902205,14.1962023411046,15.3116695989217,15.1508862217786,NA,14.8326445702427,NA,NA,NA,14.901629642357,13.8632882472763,1.09141909149532,0.582136780638277,1.60070140235236,15.311768754454,4.41139284047298,0.717412917261411,0.00016793840528141,0.0426984414607892,1,1,1.49479446547452,0.032004093794344,"UP","UP","UP"
"O14579","O14579","COPE_HUMAN","COPE","Coatomer subunit epsilon",4,19806,"COPE","ENSG00000105669",TRUE,FALSE,NA,NA,14.0727164772822,14.3512505700692,13.7073968643246,14.5466612997146,15.6636213724427,14.6851023717309,13.7751721380842,13.8691880303571,15.4565906153259,13.7659974476122,14.4506809543608,NA,13.7069265836613,13.9566292707966,NA,15.1255598347987,NA,14.4270946830838,13.5712763825382,14.2531701872794,NA,14.0873746616311,12.9648818129176,13.9054128540304,13.2805714220561,NA,14.8069592260194,13.4921645217952,13.2206985734524,13.572582792241,13.3668290331049,NA,13.5034903869829,13.5079682873942,NA,13.9443977503808,NA,0.608334548230749,0.300081333401493,0.916587763060005,14.0358057381196,4.02894857489405,0.204272208228544,0.00034841573371065,0.0426984414607892,1,1,0.83316768319163,0.146835922760909,"UP","UP","NDE"
