Protein.Group,Protein.Names,Genes,First.Protein.Description,N.Sequences,N.Proteotypic.Sequences,CR006_T1,CR008_T1,CR009_T1,CR010_T1,CR015_T1,CR017_T1,CR018_T1,CR022_T1,CR072_T1,CR149_T1,CR163_T1,CR383_T1,CR006_T2,CR008_T2,CR009_T2,CR010_T2,CR015_T2,CR017_T2,CR018_T2,CR022_T2,CR072_T2,CR149_T2,CR163_T2,CR386_T2,PPS02,PPS28,PPS31,PPS32,PPS37,PPS40,PPS41,PPS44
P01009,A1AT_HUMAN,SERPINA1,Alpha-1-antitrypsin,34,34,7346210000,5109270000,8684810000,9257400000,6424490000,6693510000,5158180000,7127090000,7421750000,6409630000,7916150000,5495880000,11136200000,6862940000,9038910000,8161290000,7485790000,7863090000,6110340000,6484600000,7808060000,6855470000,7944870000,6520370000,7451500000,7602080000,7217740000,7775830000,8014240000,8058710000,7463170000,5368790000
P01011,AACT_HUMAN,SERPINA3,Alpha-1-antichymotrypsin,24,24,957978000,1159300000,1113120000,775946000,1123500000,1317720000,954030000,699644000,1114080000,1024000000,1341740000,1078670000,1103170000,1639240000,1019120000,990510000,1221900000,1346750000,944374000,794939000,1131840000,1086030000,1358100000,1089600000,1235170000,1075370000,515132000,1326030000,1017730000,996889000,2194680000,799287000
P01019,ANGT_HUMAN,AGT,Angiotensinogen,13,13,322306000,297153000,290563000,498774000,304711000,467340000,245112000,300992000,216568000,312503000,247256000,303115000,296282000,239095000,318867000,437710000,340557000,414807000,291402000,273379000,286174000,277241000,279225000,222291000,205644000,240645000,405562000,261197000,240591000,256208000,233078000,229954000
P01023,A2MG_HUMAN,A2M,Alpha-2-macroglobulin,71,71,1942860000,2501530000,2388410000,2715870000,3181260000,2432530000,2513070000,3489240000,2671570000,2476360000,2726690000,1564670000,2971420000,4487460000,2223010000,2743860000,3144290000,2746950000,2595000000,3658410000,3422550000,3002800000,2547690000,2577720000,1834920000,3247140000,2165360000,2517400000,2646160000,5177050000,1785600000,1496280000
P01024,CO3_HUMAN,C3,Complement C3,106,106,2402350000,1760210000,2638900000,2535580000,2453920000,2468560000,2057650000,2686340000,2800430000,2618290000,2123810000,2331450000,3193550000,2866890000,2309560000,2344470000,2700930000,2488960000,1958640000,2891830000,2923670000,2708620000,2184470000,1982830000,2864550000,2562540000,2201880000,2548700000,2080840000,3130550000,2114790000,2441070000
P01031,CO5_HUMAN,C5,Complement C5,51,51,146644000,141179000,171883000,156463000,136573000,188420000,131495000,149837000,142639000,157322000,141084000,138907000,135234000,199060000,144116000,155861000,141791000,178336000,152813000,173310000,148857000,152530000,154633000,135644000,152524000,157178000,157166000,156818000,135795000,162898000,163294000,123038000
P01034,CYTC_HUMAN,CST3,Cystatin-C,3,3,7558030,6451290,10131000,10204000,7927100,8672380,9017520,10705900,6866790,8665960,7142530,6287930,,,6309550,6183400,8005220,6620560,8482720,15067100,7244700,7698660,6352160,5060750,8627290,9218320,14582400,8053930,4219860,7763400,3708360,4987410
P01040,CYTA_HUMAN,CSTA,Cystatin-A,1,1,,,,2865330,,,,,,,,,,1087620,,,,,,,,,,,,,,,,,,
P01042,KNG1_HUMAN,KNG1,Kininogen-1,18,18,975164000,646661000,845017000,824731000,826085000,866722000,823732000,989612000,870273000,975736000,875808000,988728000,1401030000,891366000,943859000,1051260000,788987000,846230000,824133000,986437000,1061510000,957298000,816597000,769794000,891690000,826062000,719773000,913456000,753207000,1024230000,753727000,696331000
P01344,IGF2_HUMAN,IGF2,Insulin-like growth factor 2,2,2,5786600,4180150,6584870,6376090,4832300,7286380,4016040,6280000,8624550,6854660,5125450,5840490,4271980,7181710,5313070,6792720,4608000,7614670,3020660,7114240,9430750,6954220,5205340,3835140,5808570,7331330,6991460,5071960,5032210,4872280,4454510,8014040
P01591,IGJ_HUMAN,JCHAIN,Immunoglobulin J chain,2,2,2035670,37015500,,13164300,1874190,1558880,996380,5699850,1562090,1363800,10450700,,,1559560,23577600,2777420,54487900,1165220,,613633,15106100,2711120,31744800,1489680,1940900,,802735,,961593,,1229030,5495540
P01593,KVD33_HUMAN,IGKV1D-33,Immunoglobulin kappa variable 1D-33,1,1,262372,3550520,132609,819746,207825,1296600,439029,473212,151471,165074,2185850,222453,,,3153890,172874,5040730,840726,,129179,1263050,508630,5980840,307433,832993,,,,177299,,1172490,326398
P01619,KV320_HUMAN,IGKV3-20,Immunoglobulin kappa variable 3-20,3,3,,74413200,,9298240,,23602100,2398890,,,,18300100,3679840,,14433000,35689000,,86015100,13798000,,,16490300,,74073200,,,,,,,,13032700,
P01624,KV315_HUMAN,IGKV3-15,Immunoglobulin kappa variable 3-15,1,1,2943580,60284200,1999190,14964800,3607050,15153100,10764100,7432660,799238,1359390,13522100,6559080,,14128200,34529800,1579960,79913000,17075100,2401820,1813440,15166800,4819740,50429600,3862740,11945400,1922620,,,3751410,505368,13522000,6938080
P01700,LV147_HUMAN,IGLV1-47,Immunoglobulin lambda variable 1-47,2,2,,10468500,,3858420,,2552180,,,,,3433540,,,,6625180,835671,12691600,2519980,,,,,13144200,,737651,,,,,,,
P01701,LV151_HUMAN,IGLV1-51,Immunoglobulin lambda variable 1-51,1,1,,3010130,,3278720,,829449,,,,,602133,,,,1850480,,3560880,913548,,,892562,,2453400,,,,,,,,,
P01703,LV140_HUMAN,IGLV1-40,Immunoglobulin lambda variable 1-40,1,1,,1477170,,396646,,,,,,,,,,,305910,,942405,,,,490859,186909,734081,,,,,,,,,
P01704,LV214_HUMAN,IGLV2-14,Immunoglobulin lambda variable 2-14,1,1,,3837600,,,,,,260837,,,,,,,,,,357464,,,1103240,,,,788712,86065,,,,,,
P01743,HV146_HUMAN,IGHV1-46,Immunoglobulin heavy variable 1-46,2,2,,,,,,,,,,,,,,,,,,577548,,,,,361971,,,,,,,,,
P01780,HV307_HUMAN,IGHV3-7,Immunoglobulin heavy variable 3-7,3,3,4793730,56305600,1393200,22527900,7635040,14841000,6654260,11541500,1905870,2828250,21331100,8531940,,6920440,46230000,3324890,154259000,15883600,2640450,2407540,36194500,10846900,77990800,4176310,12413500,1404700,1108160,1391880,4651450,,11979100,6256290
P01782,HV309_HUMAN,IGHV3-9,Immunoglobulin heavy variable 3-9,1,1,65835,1502660,,454613,69950,138923,48091,122491,,46424,412496,,,,902232,69536,1358570,122269,,,394064,222352,1311850,93221,65899,,,,57905,,223276,109627
P01834,IGKC_HUMAN,IGKC,Immunoglobulin kappa constant,6,6,72528500,798304000,30051700,424130000,53491400,338664000,174886000,135339000,39921000,29081600,396968000,156202000,23682100,315525000,816140000,64130700,1374940000,433497000,50657100,37496300,330773000,89816100,1741690000,89249600,215993000,52752600,37656700,26561900,102398000,12334900,477602000,198892000
P01857,IGHG1_HUMAN,IGHG1,Immunoglobulin heavy constant gamma 1,17,17,125375000,2573260000,70365400,927308000,129173000,987884000,456120000,315791000,43249500,97113400,919146000,308274000,57453300,547880000,1843680000,139431000,3527460000,783896000,118715000,92163100,566276000,387076000,2901650000,240010000,602727000,83545500,73147500,76982500,175834000,18599400,1290360000,342329000
P01859,IGHG2_HUMAN,IGHG2,Immunoglobulin heavy constant gamma 2,9,9,40297700,1003450000,20866200,169004000,29590600,250597000,84782400,131537000,15118800,20302200,432367000,75965800,,254415000,532670000,23006700,661372000,192659000,21096300,28939400,218222000,62211000,1451450000,60381800,160147000,20932200,13139000,6806620,37488700,6690440,311484000,125344000
P01860,IGHG3_HUMAN,IGHG3,Immunoglobulin heavy constant gamma 3,3,3,1177600,39951300,1208520,28132000,1347720,49205900,5765100,4372870,2736620,,10764100,2647510,,9135710,43127300,3672660,53708500,35154300,,2250540,19668400,7185350,43854100,8101740,18208400,7003390,1314200,2882490,3048890,,33738900,7572480
P01861,IGHG4_HUMAN,IGHG4,Immunoglobulin heavy constant gamma 4,5,5,2358470,75131500,1267370,8945360,,15311300,6160130,2258720,1547300,,40126600,,,10020400,30436000,,7625260,11546600,1369720,,14440900,,146700000,5043600,3105060,,769762,,1187460,,14672000,7210400
P01871,IGHM_HUMAN,IGHM,Immunoglobulin heavy constant mu,16,16,13774500,303182000,5842060,68657200,25396500,26497300,26371000,25797700,13143500,17054600,91217100,20231500,,54227400,195472000,31179000,610436000,24868100,6857360,5059210,204902000,34484000,226152000,8534810,27945500,2966320,7063010,2905340,12612200,2764580,41114400,27966600
P01876,IGHA1_HUMAN,IGHA1,Immunoglobulin heavy constant alpha 1,12,12,38941500,448986000,8823200,204455000,19401000,136240000,50603700,129537000,17777100,17349800,109858000,34436600,,72961500,152963000,24868200,395112000,116404000,17512100,33644500,158393000,37046900,393775000,54821500,61370100,10861300,20638200,32615900,47414000,9186410,,89711700
P01877,IGHA2_HUMAN,IGHA2,Immunoglobulin heavy constant alpha 2,4,4,1142130,14241500,,1097700,,,913949,1491870,,854077,2260330,,,,3872540,759638,5783880,,,,,1099910,4993720,,,,,,,,,
P01880,IGHD_HUMAN,IGHD,Immunoglobulin heavy constant delta,6,6,,9439380,,,,,,,,,,,,,4175240,1161200,,,,,,,,,,13782700,,,,,,
P02042,HBD_HUMAN,HBD,Hemoglobin subunit delta,8,8,67811700,29190700,10277400,20992200,14119400,19721800,31917200,24999300,9079040,17152000,22145200,79645700,10660700,8147800,17102400,4336650,23545900,11236000,25421400,19732700,12866100,19479400,18196100,22862500,5056710,11217700,32606200,8330410,10191700,13439100,9969390,20383400
P02100,HBE_HUMAN,HBE1,Hemoglobin subunit epsilon,1,1,,,,,,,,,,,,,,441372,,,,,,,,,,,,,,,,,624729,
P02533,K1C14_HUMAN,KRT14,"Keratin, type I cytoskeletal 14",10,10,,1655040,,33002200,,763695,,,,828644,1970800,,,,,,,,,,,,,,,,1279670,,871350,,,
P02538,K2C6A_HUMAN,KRT6A,"Keratin, type II cytoskeletal 6A",3,3,,1217950,,19396800,,,,,,,,,,602338,,,,,,,,,,,,,436471,,,,,
P02545,LMNA_HUMAN,LMNA,Prelamin-A/C,2,2,,,,203096,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P02647,APOA1_HUMAN,APOA1,Apolipoprotein A-I,34,34,5915950000,8435490000,7157230000,10250200000,7683560000,7154000000,5143590000,4967920000,4155510000,5897460000,7793070000,5957500000,6345200000,7050790000,8370590000,7570420000,8026110000,6690600000,6321830000,4418410000,7183720000,6406160000,6738340000,6581560000,5189210000,5655780000,7631590000,7409100000,5803720000,4338870000,3304190000,3325850000
P02649,APOE_HUMAN,APOE,Apolipoprotein E,14,14,136752000,195013000,135532000,339143000,121208000,234716000,144144000,154913000,123252000,182329000,201025000,128473000,96495800,183792000,174226000,161443000,189883000,275731000,180864000,129070000,116546000,148404000,186559000,292814000,86790800,180686000,212519000,144596000,212859000,129373000,93518500,163973000
P02652,APOA2_HUMAN,APOA2,Apolipoprotein A-II,8,8,2858270000,3397550000,2311770000,2891170000,3001310000,3481120000,2913470000,2620690000,2272240000,2357400000,2925340000,1985270000,3904940000,4197590000,2755590000,2519270000,3718470000,2961050000,3008800000,2386060000,3452480000,2332410000,2854520000,2140050000,2021780000,2412680000,2429740000,2839780000,2186830000,2543490000,3685410000,2203970000
P02654,APOC1_HUMAN,APOC1,Apolipoprotein C-I,1,1,12760500,39414800,8675030,27480500,10289900,7814730,,11182000,2283930,10990900,36677000,,,,25607200,4315490,12200600,8342910,11726800,2480020,28416200,9460640,6914810,13162500,3258920,15755400,11453500,12746800,24268900,7434560,,
P02655,APOC2_HUMAN,APOC2,Apolipoprotein C-II,4,4,340536000,288278000,543699000,646047000,207383000,335357000,356848000,292059000,251862000,572287000,546742000,264307000,387279000,455787000,655022000,487032000,267166000,534267000,328132000,206106000,205570000,421662000,422865000,357385000,106941000,456805000,332470000,189232000,317414000,445246000,195307000,410679000
P02656,APOC3_HUMAN,APOC3,Apolipoprotein C-III,6,6,493620000,570885000,601723000,1499560000,386298000,738219000,612768000,470753000,303636000,770319000,874822000,655221000,972780000,551372000,589753000,901410000,474198000,899947000,580484000,549734000,402237000,717654000,791538000,405164000,510657000,650523000,870003000,493317000,410325000,651146000,256435000,662547000
P02671,FIBA_HUMAN,FGA,Fibrinogen alpha chain,30,30,1990480000,4361380000,3290020000,3502660000,3451240000,4281230000,2297030000,2017400000,6232800,4508420000,2800780000,3075680000,4754980000,3296060000,3370290000,2282880000,6450550000,2557890000,4340520000,3321040000,4148410000,3276240000,1938490000,2580400000,3356770000,3551380000,4993210000,2921440000,2790930000,2902870000,3429380000,2184430000
P02675,FIBB_HUMAN,FGB,Fibrinogen beta chain,34,34,1934870000,3609300000,2737730000,3230180000,2954590000,3754100000,2156140000,1853860000,4163120,3954060000,2655610000,2553230000,3172020000,3106940000,3235960000,1775810000,5776140000,2296150000,3980990000,2667070000,3967510000,2745600000,1776010000,2325500000,2680250000,3113390000,4138960000,2262340000,2311720000,2565910000,2600080000,1621660000
P02679,FIBG_HUMAN,FGG,Fibrinogen gamma chain,34,34,2330990000,4762830000,4175420000,4571060000,4191250000,5066340000,2748080000,2831940000,5520340,5275890000,3825870000,3309890000,4147810000,4308950000,4322640000,2553440000,7814510000,3387040000,5047500000,4003450000,5561480000,3772130000,2627100000,3393940000,4051930000,4862450000,5724920000,3639030000,3687770000,4089450000,3055680000,2174630000
P02730,B3AT_HUMAN,SLC4A1,Band 3 anion transport protein,2,2,331016,,,,95542,,86405,69053,,,91905,195027,,,,,92461,,,,,,,,,62304,85279,,56753,,,183860
P02741,CRP_HUMAN,CRP,C-reactive protein,3,3,,1019060,729219,1497210,2521240,961175,730117,618639,1103310,1316900,1050620,,,3523450,,733951,1417150,1520770,1165800,1013450,2375660,1368570,2623520,1076030,679358,2139520,,831584,2175210,576043,3507910,2458080
P02743,SAMP_HUMAN,APCS,Serum amyloid P-component,8,8,272101000,278397000,264755000,347481000,295690000,390819000,335742000,266657000,270864000,211070000,367545000,317901000,253537000,390331000,230230000,247649000,296574000,402089000,334352000,343258000,294643000,209461000,418148000,181917000,249075000,426355000,325733000,331215000,241252000,351487000,429679000,356535000
P02745,C1QA_HUMAN,C1QA,Complement C1q subcomponent subunit A,5,5,8871630,12554100,19002800,23150200,9347340,25735900,14234000,15401800,12916600,21685900,29072600,7955220,9510050,68180500,8053670,13102600,12838900,24932400,18546100,20187300,18198800,20503300,21651500,20531800,25398300,19833700,11397800,28531600,21879600,24922800,81009700,21771200
P02746,C1QB_HUMAN,C1QB,Complement C1q subcomponent subunit B,8,8,189342000,167102000,205653000,191346000,145878000,219157000,142530000,217527000,160179000,190175000,193227000,183474000,200914000,255328000,140610000,176213000,135666000,179862000,147672000,200561000,198433000,217900000,170093000,168537000,190998000,146362000,182946000,206148000,191429000,254125000,281837000,173781000
P02747,C1QC_HUMAN,C1QC,Complement C1q subcomponent subunit C,6,6,182650000,178709000,237040000,242277000,190403000,315110000,167722000,217890000,235077000,260277000,249910000,223475000,348972000,266466000,210865000,234205000,190962000,221829000,198137000,279995000,247192000,279459000,203580000,239368000,227907000,165780000,318579000,232253000,246966000,317758000,270599000,225036000
P02748,CO9_HUMAN,C9,Complement component C9,17,17,98902400,105704000,113596000,97754900,115776000,119886000,81087900,73116800,133819000,111615000,87686600,83717300,101207000,152116000,108212000,88767500,125078000,147735000,85465300,84843900,136994000,133331000,124111000,107217000,99112400,82949400,93974800,129510000,104161000,112529000,162119000,83097100
P02749,APOH_HUMAN,APOH,Beta-2-glycoprotein 1,13,13,1628930000,1044670000,1361650000,1336570000,952641000,1300910000,1277230000,1342880000,1314130000,1014500000,1536860000,2142470000,1844260000,1426130000,1220550000,1525870000,1108100000,1369850000,1067060000,1689890000,1263070000,1157480000,1334660000,463348000,1339260000,1825600000,1047730000,1504990000,1201180000,1402870000,805031000,720182000
P02750,A2GL_HUMAN,LRG1,Leucine-rich alpha-2-glycoprotein,9,9,86157100,75017800,112611000,98411200,30450600,108809000,49413700,32458000,114792000,70182000,89660000,57684400,110313000,105200000,126753000,62474700,34502900,123423000,69729300,35795300,116164000,71936700,87283200,57228900,90097200,51862800,71410200,95528300,90538400,74665200,115878000,58498000
P02751,FINC_HUMAN,FN1,Fibronectin,74,74,137424000,1377560000,182281000,251995000,295428000,1303350000,227136000,222801000,202541000,1423700000,587253000,651832000,1071720000,536989000,438811000,209694000,2108740000,253688000,1146410000,973610000,945125000,488687000,152650000,236252000,722780000,567311000,1596730000,101873000,332652000,227562000,315473000,171890000
P02753,RET4_HUMAN,RBP4,Retinol-binding protein 4,6,6,187071000,136848000,116215000,217730000,113546000,145062000,139825000,222031000,98880300,104570000,143428000,191991000,223780000,146265000,154064000,150887000,103797000,164121000,139961000,189806000,130952000,86864100,135698000,71266200,130071000,208101000,143488000,141018000,74340600,178647000,153163000,183540000
P02760,AMBP_HUMAN,AMBP,Protein AMBP,11,11,383384000,274865000,337034000,372086000,290898000,376505000,333328000,369826000,347133000,346259000,337592000,481470000,555606000,496974000,315315000,390259000,296049000,387892000,306578000,411500000,320063000,376147000,330651000,322676000,416775000,444187000,340586000,500601000,404467000,438394000,348513000,339590000
P02763,A1AG1_HUMAN,ORM1,Alpha-1-acid glycoprotein 1,12,12,2592020000,2247090000,2368500000,3355170000,2556470000,2119600000,1725140000,1873180000,3618080000,2450320000,3155300000,1551760000,2392520000,1831070000,2036620000,1989970000,2704920000,2095110000,1729530000,2068930000,3030980000,2728620000,2990920000,1935990000,2787970000,2545750000,2398390000,3164570000,2118420000,2657790000,3348250000,1776350000
P02765,FETUA_HUMAN,AHSG,Alpha-2-HS-glycoprotein,8,8,757990000,603870000,1048780000,615050000,1158650000,1241020000,718583000,993567000,1193770000,862828000,956440000,991491000,1035760000,730048000,774199000,957208000,1000100000,1406440000,779213000,1100200000,1423940000,799253000,871659000,888419000,1062730000,1307120000,576144000,932194000,912005000,1123010000,623398000,861790000
P02766,TTHY_HUMAN,TTR,Transthyretin,14,14,1115330000,1328480000,890465000,1663850000,977799000,1126370000,900603000,1294550000,1373160000,991658000,1450280000,3019310000,1181400000,1109990000,1401690000,1133730000,1034520000,1259570000,1211710000,983226000,2128560000,879468000,1173680000,1440320000,1514570000,1907400000,958372000,1287570000,1131320000,2195260000,1624490000,1824120000
P02768,ALBU_HUMAN,ALB,Albumin,68,68,5386890000,19822600000,3683490000,27811400000,6335580000,9274850000,11247400000,6382820000,5543880000,9464780000,12615200000,7899470000,4626960000,11397700000,28113900000,5181660000,24553100000,25506000000,21904900000,2331050000,12476300000,13124400000,19297000000,24465400000,7335440000,3523590000,7829350000,2119430000,2118100000,1582690000,5484540000,7678870000
P02774,VTDB_HUMAN,GC,Vitamin D-binding protein,26,26,415677000,393390000,620958000,373164000,438322000,644685000,505283000,396893000,573462000,435041000,579654000,803924000,684022000,796628000,531251000,733676000,468041000,684115000,458126000,451811000,560983000,440668000,529660000,463120000,599673000,630086000,296334000,650980000,608902000,477154000,675434000,531239000
P02775,CXCL7_HUMAN,PPBP,Platelet basic protein,4,4,42119100,30913900,19735000,30716000,3921700,17578400,9734770,19583700,123516000,24281500,29372400,55955500,,6643990,17194400,76964800,33264900,35685800,9131260,30110100,23517700,13716100,26269600,43066300,34665000,15263500,58212700,17516800,75115500,13502600,17651300,39789600
P02776,PLF4_HUMAN,PF4,Platelet factor 4,4,4,22966200,13788800,3515580,11272100,895791,8442820,3210380,5302410,24731000,13892800,12156400,13670000,7746460,,6239250,35152000,8938790,11672400,3028720,11943800,3377400,5617320,10256700,7425650,11395600,4191680,26893300,4497130,28392500,3747760,,15342500
P02786,TFR1_HUMAN,TFRC,Transferrin receptor protein 1,10,10,2950930,2425020,2437130,6007290,3362150,2490850,2279130,2915520,5022080,2550950,1675590,2497590,,,2693870,4279400,2628770,2036900,2164100,3634470,4512320,3197980,2089610,2351960,2858830,3771720,5350950,1860660,2308120,5184310,1390510,3718610
P02787,TRFE_HUMAN,TF,Serotransferrin,57,57,6246190000,4091760000,5599430000,5802310000,5113170000,6354030000,6060800000,7219230000,7894110000,5536060000,5762170000,9147550000,10121100000,8425650000,4727770000,6434260000,5673620000,6665120000,5491940000,8808610000,6618960000,5824430000,5482870000,5136720000,6660330000,6740070000,5300500000,8060040000,6929150000,8141880000,5412910000,6455980000
P02790,HEMO_HUMAN,HPX,Hemopexin,29,29,3307870000,2515800000,3158610000,3870090000,2764390000,2995830000,2833690000,3148220000,2950440000,3168590000,2865810000,3027670000,3252720000,2956950000,3113170000,2808870000,2827780000,2961930000,2771590000,3370100000,3364780000,2711640000,2809590000,2820190000,3020310000,2963440000,2981500000,2643060000,1998930000,2923990000,2173150000,2477860000
P03950,ANGI_HUMAN,ANG,Angiogenin,1,1,,,,,,,,,,,,,,,,,5047660,,,,,,,,,,4284740,,,,,
P03951,FA11_HUMAN,F11,Coagulation factor XI,11,11,8929270,6913030,8373000,11915600,8723440,10218100,9916020,9261580,7810420,10568100,8768930,9706170,,6857560,8258920,9608520,8395450,9181040,9010290,8739040,9219470,10092100,9224940,6473100,12175200,7987060,10838700,8948220,10081500,8228540,9744300,9138980
P03952,KLKB1_HUMAN,KLKB1,Plasma kallikrein,17,17,94728600,65484000,86692200,133356000,94828900,135574000,99744000,90679600,111901000,125660000,125246000,149615000,110128000,99200800,89868400,140090000,100571000,118889000,88912300,94272000,102001000,100416000,119301000,76413200,51411800,103707000,100726000,103302000,114898000,109740000,96441600,125099000
P03999,OPSB_HUMAN,OPN1SW,Short-wave-sensitive opsin 1,1,1,,,,,,,,,3165960,,,4558860,,,,,,,,5198700,,,,,,,,,,5231160,,
P04003,C4BPA_HUMAN,C4BPA,C4b-binding protein alpha chain,23,23,566085000,516745000,676493000,885279000,740504000,558785000,469757000,465522000,453442000,556446000,655026000,469990000,470269000,606777000,814704000,523588000,722434000,567447000,471693000,468354000,597114000,620060000,645180000,535108000,567682000,650680000,525156000,661091000,716086000,608918000,561826000,519187000
P04004,VTNC_HUMAN,VTN,Vitronectin,12,12,632701000,575304000,492336000,598701000,621177000,632427000,466348000,644654000,818855000,528048000,575670000,683918000,557177000,582716000,447499000,535210000,552268000,782806000,435711000,684129000,664171000,548248000,519856000,376705000,796803000,556884000,469121000,491116000,488352000,666857000,493253000,585159000
P04040,CATA_HUMAN,CAT,Catalase,4,4,1083500,518460,,777214,438004,373714,335646,397373,249776,308144,481625,603432,,,,,692947,296615,505615,353485,314523,301169,369997,228052,58387,443361,853722,,411361,415647,,545791
P04070,PROC_HUMAN,PROC,Vitamin K-dependent protein C,4,4,8244110,6034000,7740550,12129900,6592450,8117970,5692730,9428320,5556960,7077520,8614940,5067500,,,6224930,7292660,7071200,8169230,6168530,10873500,7066310,5727140,9206660,6413270,11709400,11710300,10920800,9652790,9648510,7630860,5110900,6016320
P04075,ALDOA_HUMAN,ALDOA,Fructose-bisphosphate aldolase A,5,5,,1066200,,7405480,,568846,,,,1534100,966166,,,,,3623390,790428,,,2800200,,1699170,1902410,1554120,1204700,,3495390,761447,4011600,,,
P04080,CYTB_HUMAN,CSTB,Cystatin-B,1,1,,,,696891,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P04083,ANXA1_HUMAN,ANXA1,Annexin A1,3,3,,,,1289440,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P04114,APOB_HUMAN,APOB,Apolipoprotein B-100,193,193,628777000,583132000,531304000,765688000,595465000,527971000,579597000,486542000,382356000,548123000,887990000,710589000,626744000,683721000,642507000,554562000,750126000,758383000,579049000,464491000,526380000,499375000,824793000,388962000,447173000,532006000,553563000,431209000,693710000,573043000,557198000,754553000
P04180,LCAT_HUMAN,LCAT,Phosphatidylcholine-sterol acyltransferase,7,7,9993120,7574450,9475610,8248240,11443700,7060190,7487600,7864150,9903810,8696780,10360000,8211710,,6985980,9030270,10578600,8729740,7826280,7299280,8955330,10636600,10250300,9907540,7795380,11362700,10920500,8074060,8984040,8932930,10217800,4352370,8153410
P04196,HRG_HUMAN,HRG,Histidine-rich glycoprotein,15,15,282398000,230749000,316012000,143771000,284180000,273552000,342130000,275157000,286835000,221377000,201358000,203264000,235990000,166196000,309435000,267259000,255438000,324659000,354909000,280460000,341022000,241884000,204784000,298936000,279470000,303713000,112671000,175030000,193012000,333769000,105639000,135394000
P04217,A1BG_HUMAN,A1BG,Alpha-1B-glycoprotein,18,18,585017000,397036000,545798000,544929000,547744000,448453000,478718000,407397000,514728000,577765000,476337000,452025000,508575000,429244000,488249000,625231000,479517000,579278000,498442000,446754000,570507000,683460000,511147000,451552000,663931000,595273000,527003000,709624000,428887000,606986000,390369000,440918000
P04259,K2C6B_HUMAN,KRT6B,"Keratin, type II cytoskeletal 6B",8,8,,3374540,,37895500,,,,,,1124680,,,,,,,,,,,,,,,,,,,,,,
P04264,K2C1_HUMAN,KRT1,"Keratin, type II cytoskeletal 1",20,20,7425380,28811800,6142880,278696000,1579110,23467900,1888220,3387460,1354010,18875400,32310300,8554240,39151900,58730300,,4113530,4360250,8806710,,9632800,,4642220,9329460,3069390,10774700,11588100,10791400,2530780,15315500,1615080,,4055360
P04275,VWF_HUMAN,VWF,von Willebrand factor,59,59,8044410,85469100,12001400,35011700,33094300,91008400,13781500,20722400,21228800,54569400,38285500,26207200,40561000,21261200,20892600,11014800,177959000,21373200,63942800,94177400,75691800,18167000,8945460,24540800,31224200,44379700,102098000,20496600,23352300,25621200,17973600,10217800
P04278,SHBG_HUMAN,SHBG,Sex hormone-binding globulin,13,13,2219570,6644420,6248520,3892490,7170650,6135150,2648710,1878500,2381720,2478350,5488520,1785700,,3453260,7702070,6812180,6867800,9377740,6524240,1459320,2764820,2916410,6896990,9218660,2719100,2368400,2330090,8148310,4604790,1979370,,995478
P04406,G3P_HUMAN,GAPDH,Glyceraldehyde-3-phosphate dehydrogenase,7,7,2222870,4012670,542961,13766700,578898,1479130,1234720,1804700,289484,2638410,2057480,956446,,,1846970,4156370,2383300,467117,1030850,3067950,709977,1662920,1560190,2168050,1670430,734477,5723880,868620,3973900,1352350,,352723
P04433,KV311_HUMAN,IGKV3-11,Immunoglobulin kappa variable 3-11,1,1,,57162300,,,,,,,1232160,,5112140,,,10896400,25374200,,,,,,,,57750000,,,,,,,,12810200,
P04439,HLAA_HUMAN,HLA-A,"HLA class I histocompatibility antigen, A alpha chain",4,4,,223567,,251037,971559,289708,155364,159522,,958855,,,,,201406,452360,1167860,310368,150395,236221,,1376190,,274451,,,330601,232298,1335320,1064990,,750820
P04745,,,,2,2,493688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P04792,HSPB1_HUMAN,HSPB1,Heat shock protein beta-1,1,1,,,,34944900,,,,,,1397540,,,,,,2421800,,,,798164,,646970,1217790,666724,,,1462810,,1049220,,,
P04920,B3A2_HUMAN,SLC4A2,Anion exchange protein 2,1,1,,683112,,1030040,,,448720,,291702,,,355287,,,1366920,,,893535,1325990,,,330241,729438,803320,,,,,,,,
P05026,AT1B1_HUMAN,ATP1B1,Sodium/potassium-transporting ATPase subunit beta-1,2,2,,,30779600,,,,,26256400,37815000,,24613000,54082700,24449200,37422800,,,,30546400,,26096100,,,,,,23369600,,,,,,29057700
P05089,ARGI1_HUMAN,ARG1,Arginase-1,1,1,,,,863465,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05090,APOD_HUMAN,APOD,Apolipoprotein D,5,5,236651000,350372000,269490000,517977000,326839000,260290000,362240000,246181000,223100000,230975000,247574000,413512000,408210000,700021000,225943000,461600000,332770000,237485000,314820000,261651000,282808000,155818000,259489000,318575000,143507000,310040000,338274000,547369000,394717000,233676000,320276000,317383000
P05106,ITB3_HUMAN,ITGB3,Integrin beta-3,6,6,,622514,,593497,,,,,,618733,420393,,,,239905,1936400,683536,,,867930,,351923,422095,551243,708454,,1238260,,2617340,347402,,
