"uniprot","uniprot_id","protein","gene","description","n_seq","sum_spectra","is_keratin","CR006_T1","CR008_T1","CR009_T1","CR009_T2","CR010_T1","CR010_T2","CR015_T1","CR015_T2","CR017_T1","CR017_T2","CR018_T1","CR018_T2","CR022_T1","CR022_T2","CR072_T1","CR072_T2","CR149_T1","CR149_T2","CR163_T1","CR163_T2","CR383_T1","CR386_T2","logFC","CI.L","CI.R","average_intensity","t","B","P.Value","adj.P.Val","sig.PVal","sig.FDR","Pi.Val","adj.Pi.Val","DE.adj","DE.nom","DE.pi"
"A5PL33","A5PL33","KRBA1_HUMAN","KRBA1","Protein KRBA1",1,1,FALSE,24.3886310289929,23.4547580675786,24.4825163850318,25.3836979291775,22.8529335154529,24.4412078851705,24.8633533188115,24.4170569385521,23.9615253658481,24.5705781976638,23.7603157943679,23.5051566456945,24.0077464528744,24.2360316219118,25.044953330747,24.2229081108736,24.0127446128358,24.2460645922262,23.7587791335921,24.3510016187353,24.1910688122114,23.4632968480713,0.626537228644651,0.098006908630663,1.15506754865864,24.1643784639282,2.47166290592362,-4.22021080708748,0.0224865056872666,0.85657495108128,1,0,0.0421249986718888,0.907559278800393,"NDE","UP","NDE"
"P01861","P01861","IGHG4_HUMAN","IGHG4","Immunoglobulin heavy constant gamma 4",5,5,FALSE,21.0923247892714,26.1903906616263,20.3312529150109,24.8763271385819,22.6762346967483,NA,NA,22.657206391287,23.7311236247031,23.2046499464547,22.7325045992381,20.4696384923795,21.1091386931728,NA,20.7494877305276,23.5396525861072,NA,NA,25.1263086695205,27.0469794375745,NA,22.4514720857761,2.17530529731642,0.235867784281984,4.11474281035086,22.9990432786238,2.4033850127941,-4.31313334145603,0.0305134412418572,0.85657495108128,1,0,0.146255846533868,0.714075534235528,"NDE","UP","NDE"
"P02741","P02741","CRP_HUMAN","CRP","C-reactive protein",3,3,FALSE,NA,19.8863445161338,19.6506362028826,NA,20.0094355446757,19.4681900889635,21.3833014782227,20.1752788254014,19.8312215222812,20.4119376138204,19.7364242126823,20.2613033979598,19.4228697336163,19.8079448782405,20.2132712149721,21.0920158780044,20.3006017270093,20.4375026770224,20.0308463277514,21.3680729476042,NA,20.0928710897726,0.839552997810962,0.196470690263266,1.48263530535866,20.1884247303693,2.75267286039318,-4.22528652937937,0.0135181653073778,0.85657495108128,1,0,0.0564470350696837,0.87811817257381,"NDE","UP","NDE"
"Q0D2K0","Q0D2K0","NIPA4_HUMAN","NIPAL4","Magnesium transporter NIPA4",1,1,FALSE,16.7887437884858,18.6272464699471,17.2906677074612,18.82355937449,18.525990308004,18.0156437661055,NA,17.5203242906664,17.4861574442916,19.7149862323256,18.8457267153294,19.0105724687659,17.7156639360746,NA,17.567515171719,18.8931516468967,18.4377353006305,18.5994137834896,17.8295447401595,18.4744474529505,NA,18.9025798754922,0.80251602792838,0.0311114618086797,1.57392059404808,18.2668247617518,2.1935349347513,-4.33563041526458,0.042339718824519,0.85657495108128,1,0,0.0539568681078743,0.883167607723284,"NDE","UP","NDE"
"Q9NQX6","Q9NQX6","ZN331_HUMAN","ZNF331","Zinc finger protein 331",1,1,FALSE,29.5645483917009,NA,28.3152248122032,31.9296088346664,30.9460949277101,28.9944977477545,29.4621822186883,31.1587657944854,NA,30.5022637505858,29.7885040142056,31.5273049955886,30.0037244246602,NA,29.651072683322,30.2792493740474,30.0980689097187,30.676856646781,NA,31.0741628073233,29.9696776255192,30.8537945752732,1.20254465244085,0.150913303648674,2.25417600123303,30.266422363013,2.42240417244442,-4.33594448199266,0.0275409218079212,0.85657495108128,1,0,0.0808526446170507,0.830132382248858,"NDE","UP","NDE"
