"uniprot","uniprot_id","protein","gene","description","n_seq","sum_spectra","is_keratin","CR006_T1","CR008_T1","CR009_T1","CR009_T2","CR010_T1","CR010_T2","CR015_T1","CR015_T2","CR017_T1","CR017_T2","CR018_T1","CR018_T2","CR022_T1","CR022_T2","CR072_T1","CR072_T2","CR149_T1","CR149_T2","CR163_T1","CR163_T2","CR383_T1","CR386_T2","logFC","CI.L","CI.R","average_intensity","t","B","P.Value","adj.P.Val","sig.PVal","sig.FDR","Pi.Val","adj.Pi.Val","DE.adj","DE.nom","DE.pi"
"B9A064","B9A064","IGLL5_HUMAN","IGLL5","Immunoglobulin lambda-like polypeptide 5",1,1,FALSE,20.5435208565393,23.9025836934365,NA,23.9076250698973,22.60383309461,21.5350199799581,NA,25.1634878512777,22.4247015475163,22.0429327016932,22.176888406659,20.2071166009181,21.6748085995935,NA,NA,21.8295968240686,19.0852069347482,20.3894220210014,23.3443665720765,25.0754806582604,22.7681214165698,20.1287750441878,2.035029015938,0.036106013409094,4.03395201846691,22.1557493262784,2.15666881469757,-4.42256327926584,0.0464492781848225,0.994350208748321,1,0,0.00500745498072842,0.988536125569547,"NDE","UP","NDE"
"O43866","O43866","CD5L_HUMAN","CD5L","CD5 antigen-like",8,8,FALSE,22.4485011599298,24.4939244512979,22.0546330657029,24.1730546028143,22.7477456517484,22.5553978559055,22.0394936181827,25.2480610776499,22.0918385279338,22.0207747558874,22.3704882529697,21.3674812711933,23.4906978145731,23.2715821594767,21.0540761548913,23.9039044297307,22.674010062217,22.9897415407166,23.3271153374203,24.0461950864657,22.2812150151187,22.2315758229619,1.36126312364063,0.178151749153791,2.54437449812747,22.8582503506722,2.39899152930235,-4.35369951199706,0.0262310250110456,0.994350208748321,1,0,0.00334956590553295,0.992317005726521,"NDE","UP","NDE"
"P00738","P00738","HPT_HUMAN","HP","Haptoglobin",22,22,FALSE,32.8258961144345,32.8993393038598,33.3228352660282,32.9637870974631,33.3744700945765,32.8711920161538,33.0829077308707,32.7920048544003,32.9566299917041,33.0990181993269,32.8220259324615,32.4012536615985,33.0804453674705,33.058594677125,33.6701662430276,33.2088672894576,31.8206980034011,31.5144905951991,33.2166534354073,33.6205902757963,32.7222812854289,32.6971826403511,0.663257533216502,0.171267832415109,1.1552472340179,32.9100604579792,2.81085501044752,-4.26872546049204,0.0107470185569602,0.994350208748321,1,0,0.00163203188367306,0.996249159754213,"NDE","UP","NDE"
"P01861","P01861","IGHG4_HUMAN","IGHG4","Immunoglobulin heavy constant gamma 4",5,5,FALSE,21.0923247892714,26.1903906616263,20.3312529150109,24.8763271385819,22.6762346967483,NA,NA,22.657206391287,23.7311236247031,23.2046499464547,22.7325045992381,20.4696384923795,21.1091386931728,NA,20.7494877305276,23.5396525861072,NA,NA,25.1263086695205,27.0469794375745,NA,22.4514720857761,3.29005640931873,0.774091174018738,5.80602164461872,22.9990432786238,2.80206129379833,-4.36032427775847,0.0140146760103367,0.994350208748321,1,0,0.00809561398127134,0.981531825843605,"NDE","UP","NDE"
"P01871","P01871","IGHM_HUMAN","IGHM","Immunoglobulin heavy constant mu",16,16,FALSE,23.6509212944502,28.2706759131517,22.4167640292945,27.5113975976576,25.7071837689385,24.9424092391714,24.6045920398396,29.0227712593672,24.380238381709,24.2623374236508,24.7779725055566,22.6815928086384,24.6692834567861,22.2150793505139,23.7184332742278,27.3563369132479,23.9869711855112,25.010670347086,26.3299640714592,27.6784491398094,24.3338723554532,23.2975556509221,2.40248573517548,0.104617540257633,4.70035393009332,25.0375214548383,2.17995720571558,-4.39816826543388,0.0412940311964518,0.994350208748321,1,0,0.00591163028463667,0.986480193005981,"NDE","UP","NDE"
"P22102","P22102","PUR2_HUMAN","GART","Trifunctional purine biosynthetic protein adenosine-3",1,1,FALSE,24.0082320220899,24.5827299837953,24.1706483301472,23.6679657607915,24.9791446597854,24.1436938992305,24.4832408666219,24.5115637886151,24.5945879320599,24.3137483438126,24.3929686872799,23.8652607075247,24.2933524043903,24.9176231145886,25.1046678719024,24.8464066513479,23.06718222682,22.3774443875276,24.7508442543804,24.933316785189,24.511933486246,24.1714496803304,0.702479054467734,0.00437419908063219,1.40058390985484,24.304000265658,2.09809421109794,-4.41450517121617,0.0487107681917552,0.994350208748321,1,0,0.00172854156505993,0.996027796115639,"NDE","UP","NDE"
