"uniprot","uniprot_id","protein","gene","description","n_seq","sum_spectra","is_keratin","CR006_T1","CR008_T1","CR009_T1","CR009_T2","CR010_T1","CR010_T2","CR015_T1","CR015_T2","CR017_T1","CR017_T2","CR018_T1","CR018_T2","CR022_T1","CR022_T2","CR072_T1","CR072_T2","CR149_T1","CR149_T2","CR163_T1","CR163_T2","CR383_T1","CR386_T2","logFC","CI.L","CI.R","average_intensity","t","B","P.Value","adj.P.Val","sig.PVal","sig.FDR","Pi.Val","adj.Pi.Val","DE.adj","DE.nom","DE.pi"
"Q8N3E9","Q8N3E9","PLCD3_HUMAN","PLCD3","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-3",1,1,FALSE,23.0502235190924,26.1546763108771,23.7519205627657,24.4183840800262,23.5627761023612,23.7156275780777,24.8935746965447,26.3204095305454,25.8890359523801,23.1433974344384,24.0521378931692,25.6497874303751,23.6835561197797,26.3758893682473,24.7310545650494,25.7541080025076,26.1633011499597,25.083912067838,25.00788245078,NA,26.4411461682699,NA,1.73289129861355,0.0330585820869955,3.43272401514011,24.8921400491542,2.14086865547582,-4.44676271993144,0.0461373453331489,0.99447448084996,1,0,0.00416995476220535,0.990444273234194,"NDE","UP","NDE"
"Q92611","Q92611","EDEM1_HUMAN","EDEM1","ER degradation-enhancing alpha-mannosidase-like protein 1",1,1,FALSE,25.6996378110174,27.1006556460089,26.2857851912027,26.4407781323391,26.1136276513613,26.027466559041,26.6241790048725,26.9682871743214,26.5007289537038,25.8536633146322,NA,26.7962939575883,25.9620831016566,26.7097349569132,NA,26.7679153630123,26.888555338548,26.3757833013991,26.1382384490122,NA,25.8973921039724,NA,0.677757748661239,0.0772019077298765,1.2783135895926,26.397267000589,2.39112180264789,-4.42701196964061,0.0293434961815809,0.99447448084996,1,0,0.00163092696807509,0.996251694376877,"NDE","UP","NDE"
"Q92783","Q92783","STAM1_HUMAN","STAM","Signal transducing adapter molecule 1",1,1,FALSE,16.9652171663881,19.038892957056,NA,20.8044477006504,20.86977732766,NA,18.9361667958643,19.3296670564986,16.1553038025955,21.4875845246299,NA,21.7736942259162,18.5276795404431,NA,NA,18.7171306705588,NA,NA,19.5911140192217,21.0543044929707,NA,20.4806374344441,2.59121349863953,0.298725897986086,4.88370109929297,19.552258408207,2.46029963854422,-4.4366928802994,0.0298628508241478,0.99447448084996,1,0,0.00623538422588176,0.98574507466984,"NDE","UP","NDE"
"Q9NQX6","Q9NQX6","ZN331_HUMAN","ZNF331","Zinc finger protein 331",1,1,FALSE,29.5645483917009,NA,28.3152248122032,31.9296088346664,30.9460949277101,28.9944977477545,29.4621822186883,31.1587657944854,NA,30.5022637505858,29.7885040142056,31.5273049955886,30.0037244246602,NA,29.651072683322,30.2792493740474,30.0980689097187,30.676856646781,NA,31.0741628073233,29.9696776255192,30.8537945752732,1.57364614315238,0.236520096262937,2.91077219004182,30.266422363013,2.49353423944207,-4.41166659400982,0.0239007210876179,0.99447448084996,1,0,0.00378675409929895,0.991318579518608,"NDE","UP","NDE"
"Q9NYW8","Q9NYW8","RBAK_HUMAN","RBAK","RB-associated KRAB zinc finger protein",1,1,FALSE,20.8116548004913,23.0041311138555,NA,24.2019921774239,23.0215491201592,20.2441778671788,21.7286689460833,22.828413962225,20.981352515786,23.0944350159656,20.6064143601113,23.1835594690924,20.4373792637029,NA,21.2819780492222,22.5995950964968,20.1479639344773,20.8716943556256,21.5660701010418,23.1219010758359,NA,24.0651659972195,2.12962357033884,0.427997976408491,3.83124916426919,21.9893735379997,2.63921748623657,-4.3775041118404,0.017158527214662,0.99447448084996,1,0,0.00512463416253763,0.988269439637565,"NDE","UP","NDE"
"Q9UPR0","Q9UPR0","PLCL2_HUMAN","PLCL2","Inactive phospholipase C-like protein 2",1,1,FALSE,18.330074416479,20.6765632357981,17.0963596344427,21.8718731433291,20.9904592870964,17.8832909973812,18.3656858177256,20.929512840415,19.628401704354,21.595097138512,16.5764580869702,21.1938813002171,17.8606186305306,NA,19.1443761368134,19.8068226834394,17.4735840760293,16.7571224864655,19.6874422516185,21.2847115758323,19.5767280630941,20.1862040361234,3.16175723394178,0.678142231974155,5.64537223590941,19.3769175020318,2.66350106561494,-4.36274059354553,0.0153008787657402,0.99447448084996,1,0,0.00760831602372363,0.982633766831876,"NDE","UP","NDE"
