"uniprot","uniprot_id","protein","gene","description","n_seq","sum_spectra","is_keratin","CR006_T1","CR008_T1","CR009_T1","CR009_T2","CR010_T1","CR010_T2","CR015_T1","CR015_T2","CR017_T1","CR017_T2","CR018_T1","CR018_T2","CR022_T1","CR022_T2","CR072_T1","CR072_T2","CR149_T1","CR149_T2","CR163_T1","CR163_T2","CR383_T1","CR386_T2","PPS02","PPS28","PPS31","PPS32","PPS37","PPS40","PPS44","logFC","CI.L","CI.R","average_intensity","t","B","P.Value","adj.P.Val","sig.PVal","sig.FDR","Pi.Val","adj.Pi.Val","DE.adj","DE.nom","DE.pi"
"P05109","P05109","S10A8_HUMAN","S100A8","Protein S100-A8",5,5,FALSE,23.5379073419547,23.3264409393267,21.587616622223,21.5767885462896,28.3661034282184,20.8694577822181,21.3596187217576,21.229924986164,22.2643913435199,22.0420697074714,22.7686045961393,21.1921397596474,21.8224152511733,22.8266995542491,22.6025605827728,21.2346275436996,22.8851945003029,22.4838459707273,22.0885163963745,21.8221272908055,24.0409319931208,22.8364497848373,21.4793936179667,21.2857879238137,24.4365595443663,20.851721058529,21.8016794062507,21.7899577972877,21.4282683146283,-0.859996849517152,-1.70430805180569,-0.0156856472286103,22.3392344933047,-2.08601093249754,-3.92908150605214,0.0461623528990135,0.562191512091557,-1,0,0.215098727440692,0.609398347981975,"NDE","DOWN","NDE"
"Q05707","Q05707","COEA1_HUMAN","COL14A1","Collagen alpha-1(XIV) chain",1,1,FALSE,24.9002313875111,22.757956579101,22.7666867516431,22.8117967604229,23.1725374752395,20.9920834687347,23.0633816390898,23.7258792761754,23.7992077239441,21.8160404776847,24.1550434546831,23.4620924210287,23.4658923835791,22.9139009018791,22.5099289842013,22.5391012238181,22.9002843372048,22.913869724538,23.8420380653803,22.8811490412326,24.7276242846974,23.5590319336963,21.5884232757032,22.354555157369,23.4645994637215,22.00071741945,22.2892245912342,22.8666079644465,22.9430695561491,-0.717701673587165,-1.20259430404022,-0.232809043134112,23.0063088180537,-3.03124225812739,-2.11181203401931,0.00518301411355295,0.252486830388794,-1,0,0.429014263582812,0.372379475952464,"NDE","DOWN","NDE"
"Q12879","Q12879","NMDE1_HUMAN","GRIN2A","Glutamate receptor ionotropic, NMDA 2A",1,1,FALSE,19.0153176857877,17.3158121595968,17.8436849998854,NA,18.4255640615406,NA,NA,NA,19.072560319042,16.9004408903422,18.2863077844683,17.4614117858621,17.8358600750993,18.7984067794474,18.2242498950003,16.919016288084,17.2025258252342,17.7177186175993,18.9118327908966,18.563150231769,NA,17.5357969771133,17.5164176983162,18.4995908119621,16.1994118783115,NA,NA,18.5612890530792,17.370658610225,-0.648224943382271,-1.25121027968661,-0.0452396070779364,17.9171375099392,-2.23476858770481,-3.6533450213424,0.0363563696430194,0.480136621769416,-1,0,0.206547263441514,0.621516605603164,"NDE","DOWN","NDE"
