"uniprot","uniprot_id","protein","gene","description","n_seq","sum_spectra","is_keratin","CR006_T1","CR008_T1","CR009_T1","CR009_T2","CR010_T1","CR010_T2","CR015_T1","CR015_T2","CR017_T1","CR017_T2","CR018_T1","CR018_T2","CR022_T1","CR022_T2","CR072_T1","CR072_T2","CR149_T1","CR149_T2","CR163_T1","CR163_T2","CR383_T1","CR386_T2","logFC","CI.L","CI.R","average_intensity","t","B","P.Value","adj.P.Val","sig.PVal","sig.FDR","Pi.Val","adj.Pi.Val","DE.adj","DE.nom","DE.pi"
"P01857","P01857","IGHG1_HUMAN","IGHG1","Immunoglobulin heavy constant gamma 1",17,17,FALSE,26.8710784090678,31.3006086306205,25.9952682924722,30.7397220366822,29.4894686109681,26.986830491214,26.8910957037848,31.5221867133487,29.650685776008,29.299226489205,28.8193910264269,26.7524812523312,28.3171446283091,26.4132753723756,25.4167456100589,28.8411062344711,26.489435032949,28.4766018310805,29.6573643915155,31.3951415342451,28.0965269239566,27.9863076658842,2.20713088453664,0.705430597340676,3.70883117173261,28.4276223934989,3.06480235371512,-2.27926901462022,0.00608689185179821,0.15025766401226,1,0,1.81682929081723,0.0152465193465367,"NDE","UP","UP"
"P01859","P01859","IGHG2_HUMAN","IGHG2","Immunoglobulin heavy constant gamma 2",9,9,FALSE,25.2164235592667,30.0130034076988,24.2453047095524,28.9762463686397,27.045059990664,24.4004000800771,24.8122852638141,29.1704052621087,27.6546905681022,27.1970986643908,26.4175853257037,24.298558616768,27.0820553324439,24.799858445682,23.9439715259689,27.5127728636797,24.2451391138807,25.8732525683412,28.5910837822268,30.3645947539076,26.1382016098887,26.0913300130271,2.14333135600835,0.521497668077397,3.76516504393931,26.549514628447,2.75575528406732,-2.77644772829828,0.012151943187758,0.160405650078405,1,0,1.70347762028066,0.0197934901685576,"NDE","UP","UP"
"P01860","P01860","IGHG3_HUMAN","IGHG3","Immunoglobulin heavy constant gamma 3",3,3,FALSE,20.0896500642628,25.2806037339305,20.2611552680574,25.378731528626,24.3311040464181,21.9783485027231,20.4580151700627,25.4736585255118,25.4138116517006,24.8100813441445,22.6368615037627,NA,22.0619066671537,20.8882800396533,21.5706519245692,23.9849340523151,NA,22.7083808362145,23.2278627967336,25.3049137001288,21.5336176682753,23.1365738960788,2.16758890272392,0.36246961327824,3.97270819216961,23.0264571460161,2.52171439932303,-3.18389755787715,0.0212592276393522,0.226307907128588,1,0,1.39874570778516,0.0399258611614159,"NDE","UP","UP"
"P01871","P01871","IGHM_HUMAN","IGHM","Immunoglobulin heavy constant mu",16,16,FALSE,23.6509212944502,28.2706759131517,22.4167640292945,27.5113975976576,25.7071837689385,24.9424092391714,24.6045920398396,29.0227712593672,24.380238381709,24.2623374236508,24.7779725055566,22.6815928086384,24.6692834567861,22.2150793505139,23.7184332742278,27.3563369132479,23.9869711855112,25.010670347086,26.3299640714592,27.6784491398094,24.3338723554532,23.2975556509221,2.24504738692653,0.649690160895218,3.84040461295785,25.0375214548383,2.93443988427342,-2.49063318812154,0.00816655955764008,0.15025766401226,1,0,1.84804076659781,0.0141892432305407,"NDE","UP","UP"
"P01876","P01876","IGHA1_HUMAN","IGHA1","Immunoglobulin heavy constant alpha 1",12,12,FALSE,25.1650994482416,28.8403258431118,23.004528166251,27.1687701950434,27.2935742854055,24.5507416930247,24.2103968452568,28.4166603006402,26.7581736554808,26.4734458123107,25.6874835666654,24.021982638677,27.0456235269419,25.0010823740741,24.1791260596658,27.0287059915652,24.0137442240592,25.1262776389317,26.6076680476073,28.4763596086212,25.0367648305164,25.9714865855585,1.92549989524532,0.544486667431791,3.30651312305885,25.9126373335296,2.90739011367343,-2.53421659732953,0.00867667624231764,0.15025766401226,1,0,1.58500097735782,0.0260015371164395,"NDE","UP","UP"
"P02768","P02768","ALBU_HUMAN","ALB","Albumin",68,68,FALSE,32.4162244503785,34.0034000737911,31.6163064952962,34.5070166526184,34.1900625119262,32.3079665418103,32.4851962223126,34.126831310078,33.001964920189,34.4246757910747,33.4280851120103,34.1859064459844,32.5700937363012,30.8316222688319,32.3636110179116,33.1337322921028,33.1418278644555,33.4334758114955,33.2917549239775,34.0318500764279,32.8377151130819,34.3673735808961,1.17671997759533,0.35702266091111,1.99641729427956,33.2134860551342,2.9934862090217,-2.39515438151822,0.00715135433993127,0.15025766401226,1,0,0.968632779036035,0.107489791620453,"NDE","UP","NDE"
"P06312","P06312","KV401_HUMAN","IGKV4-1","Immunoglobulin kappa variable 4-1",1,1,FALSE,20.4782030370905,23.6847740648511,19.9738788089567,23.7301209790408,22.049472558209,20.029696882984,20.5176238955988,23.6603831443742,22.5027118658437,22.3407306738928,21.9128591255706,20.5311423398862,21.7689065384814,19.7609019415856,19.2833609120302,22.8619690090794,20.2670865196384,20.9470603264622,22.2062969342277,23.9993908829279,20.1936161470472,20.4224240665192,1.58753191340589,0.305780234686525,2.86928359212525,21.505573211559,2.58271341282897,-3.04769264993407,0.0177315070465969,0.195046577512566,1,0,1.12692804865947,0.0746572435869259,"NDE","UP","NDE"
"P06331","P06331","HV434_HUMAN","IGHV4-34","Immunoglobulin heavy variable 4-34",1,1,FALSE,19.8357408261173,23.7591219921305,18.3407507462822,22.6435606022312,22.221077577902,19.6947350143809,19.6710068987394,24.1377743183354,22.4624174315991,22.1482573077542,21.075958131465,18.7352442948709,21.3039179372048,19.0928411787215,18.6488747607017,22.2024928755254,19.5827226399123,20.9413991542126,22.3188705056433,23.956697418329,20.4893193636994,20.1496238653108,1.99278337344655,0.495162237060813,3.49040450983228,21.0642002200486,2.77469836784369,-2.74639752926213,0.0116543894120575,0.160247854415791,1,0,1.58467683566111,0.0260209509674947,"NDE","UP","UP"
"P0DOY2","P0DOY2","IGLC2_HUMAN","IGLC2","Immunoglobulin lambda constant 2",3,3,FALSE,23.4573662301947,28.0153667795412,22.1824357334812,26.6694113409345,26.3042226410701,24.0015754573893,23.116214949527,28.0327449021573,25.5312065311388,25.5144158664835,25.1837229086908,22.9276952563594,24.9905493953937,23.2992831243405,22.6452623573834,25.9304080904509,23.1293258120954,24.7018955476817,26.0431547819139,27.9902123484724,24.6971744494923,24.4594281601523,2.24108904673263,0.786382582079314,3.69579551138595,24.9465033029247,3.21248710137887,-2.03766648244278,0.00434834350181044,0.15025766401226,1,0,1.84478240595519,0.0142961005491954,"NDE","UP","UP"
"P35542","P35542","SAA4_HUMAN","SAA4","Serum amyloid A-4 protein",2,2,FALSE,23.4035404481086,24.3716983680901,22.1273199333271,24.4726944038149,23.1596732060879,23.5390195565401,24.4584715163312,24.2284731575894,22.4968198279489,23.7320523274698,21.5701042122373,23.7680095147202,23.1052996709542,21.9350260368057,22.9292112528842,23.413820002041,21.9136903136093,23.371005554853,22.9144844273895,23.4881331709402,NA,23.6639943685901,1.07795551791174,0.252380908614252,1.90353012720923,23.2410733938254,2.7318266710048,-2.83123700768356,0.0132013419217131,0.163125063985405,1,0,0.848867662030122,0.141622526557785,"NDE","UP","NDE"
