"uniprot","uniprot_id","protein","gene","description","n_seq","sum_spectra","is_keratin","CR006_T1","CR008_T1","CR009_T1","CR009_T2","CR010_T1","CR010_T2","CR015_T1","CR015_T2","CR017_T1","CR017_T2","CR018_T1","CR018_T2","CR022_T1","CR022_T2","CR072_T1","CR072_T2","CR149_T1","CR149_T2","CR163_T1","CR163_T2","CR383_T1","CR386_T2","logFC","CI.L","CI.R","average_intensity","t","B","P.Value","adj.P.Val","sig.PVal","sig.FDR","Pi.Val","adj.Pi.Val","DE.adj","DE.nom","DE.pi"
"P30043","P30043","BLVRB_HUMAN","BLVRB","Flavin reductase (NADPH)",4,4,FALSE,19.8812844687544,18.4614803585289,17.8221492302935,17.6667322307469,18.2516366052535,15.9986606224049,17.7876812214186,18.4648981302478,18.6176613194212,17.5505355296511,19.3808733864255,18.8773683634241,19.2709142930182,19.0093734758411,17.840549070382,17.4135199346532,18.3733768252649,18.7377172360131,18.8398297902558,18.6799891051401,19.66562765644,18.6148427327798,-0.737008957220734,-1.45788083645171,-0.0161370779897591,18.4184864357436,-2.13170422651578,-4.3225630353378,0.0455308801389326,0.85657495108128,-1,0,0.0495525244545397,0.892169712250121,"NDE","DOWN","NDE"
"Q05707","Q05707","COEA1_HUMAN","COL14A1","Collagen alpha-1(XIV) chain",1,1,FALSE,24.861748525662,22.7713755392052,22.7525735523811,22.8221382673435,23.2325794191112,21.0330693424237,23.113897879333,23.7651318916399,23.8213438494896,21.8500539520168,24.2076310989301,23.4426952240506,23.4961084956099,22.9047234704916,22.5659424389225,22.5676209743592,22.9297104894747,22.9694777571662,23.86445729922,22.8894975081646,24.7582195148928,23.6176158245166,-0.790475633047862,-1.51919588104873,-0.0617553850469915,23.1926187415639,-2.26172560479502,-4.28384902941573,0.0349267591848975,0.85657495108128,-1,0,0.0531473366145135,0.884815380782983,"NDE","DOWN","NDE"
"Q9Y3D8","Q9Y3D8","KAD6_HUMAN","AK6","Adenylate kinase isoenzyme 6",1,1,FALSE,28.0790166662345,27.7316907224487,28.2545365106104,26.8593156576125,27.6882930680238,27.5116924550464,28.2300132230501,28.2155044326588,27.2667284065545,27.0950263881959,28.2621910032991,28.2162217059245,27.5454047383816,27.2648167759755,28.2200568892993,26.7794931069428,28.2478940111638,27.7030702771783,27.7306310031718,27.8284999668988,28.343153746608,28.4551430482836,-0.655707991050328,-1.10577782049305,-0.205638161607606,27.7967451728892,-3.03768572302938,-4.0465307579565,0.00646390099287488,0.85657495108128,-1,0,0.0440862840854553,0.903469957687178,"NDE","DOWN","NDE"
