criterion,n_up,n_down,n_total,method,contrast
FDR_05,3,0,3,rlr_RF,Training_SURV
FDR_10,13,6,19,rlr_RF,Training_SURV
pi_05,3,0,3,rlr_RF,Training_SURV
nominal_p05,381,437,818,vsn_RF,Baseline_SURVvCTL
FDR_05,306,313,619,vsn_RF,Baseline_SURVvCTL
FDR_10,362,410,772,vsn_RF,Baseline_SURVvCTL
pi_05,212,103,315,vsn_RF,Baseline_SURVvCTL
nominal_p05,431,574,1005,vsn_RF,Training_SURVvCTL
FDR_05,379,473,852,vsn_RF,Training_SURVvCTL
FDR_10,434,576,1010,vsn_RF,Training_SURVvCTL
pi_05,280,205,485,vsn_RF,Training_SURVvCTL
nominal_p05,132,131,263,vsn_RF,Training_SURV
FDR_05,2,0,2,vsn_RF,Training_SURV
FDR_10,8,6,14,vsn_RF,Training_SURV
pi_05,2,0,2,vsn_RF,Training_SURV
nominal_p05,414,364,778,cycloess_knn,Baseline_SURVvCTL
FDR_05,333,242,575,cycloess_knn,Baseline_SURVvCTL
FDR_10,391,328,719,cycloess_knn,Baseline_SURVvCTL
pi_05,226,68,294,cycloess_knn,Baseline_SURVvCTL
nominal_p05,484,437,921,cycloess_knn,Training_SURVvCTL
FDR_05,428,335,763,cycloess_knn,Training_SURVvCTL
FDR_10,480,431,911,cycloess_knn,Training_SURVvCTL
pi_05,303,143,446,cycloess_knn,Training_SURVvCTL
nominal_p05,141,99,240,cycloess_knn,Training_SURV
FDR_05,3,0,3,cycloess_knn,Training_SURV
FDR_10,11,3,14,cycloess_knn,Training_SURV
pi_05,2,0,2,cycloess_knn,Training_SURV
nominal_p05,369,409,778,rlr_knn,Baseline_SURVvCTL
FDR_05,289,264,553,rlr_knn,Baseline_SURVvCTL
FDR_10,350,367,717,rlr_knn,Baseline_SURVvCTL
pi_05,196,81,277,rlr_knn,Baseline_SURVvCTL
nominal_p05,442,499,941,rlr_knn,Training_SURVvCTL
FDR_05,386,394,780,rlr_knn,Training_SURVvCTL
FDR_10,437,493,930,rlr_knn,Training_SURVvCTL
pi_05,277,161,438,rlr_knn,Training_SURVvCTL
nominal_p05,150,114,264,rlr_knn,Training_SURV
FDR_05,3,0,3,rlr_knn,Training_SURV
FDR_10,12,5,17,rlr_knn,Training_SURV
pi_05,3,0,3,rlr_knn,Training_SURV
nominal_p05,367,429,796,vsn_knn,Baseline_SURVvCTL
FDR_05,292,295,587,vsn_knn,Baseline_SURVvCTL
FDR_10,348,399,747,vsn_knn,Baseline_SURVvCTL
pi_05,203,97,300,vsn_knn,Baseline_SURVvCTL
nominal_p05,423,567,990,vsn_knn,Training_SURVvCTL
FDR_05,368,462,830,vsn_knn,Training_SURVvCTL
FDR_10,425,572,997,vsn_knn,Training_SURVvCTL
pi_05,273,205,478,vsn_knn,Training_SURVvCTL
nominal_p05,122,139,261,vsn_knn,Training_SURV
FDR_05,2,0,2,vsn_knn,Training_SURV
FDR_10,2,0,2,vsn_knn,Training_SURV
pi_05,2,0,2,vsn_knn,Training_SURV
