uniprot_id,gene,n_miss,pct_miss,mean_int,class
Q16718,NDUFA5,0,0,21.598346030011275,Complete
Q16891,IMMT,0,0,21.581247961433835,Complete
A8MU46,SMTNL1,2,5.128205128205128,21.42269634198408,MAR
Q9H0P0,NT5C3A,2,5.128205128205128,21.517788261696744,MNAR
P16157,ANK1,0,0,20.636980608656774,Complete
P18859,ATP5PF,0,0,21.562629778397874,Complete
P24534,EEF1B2,0,0,21.656266727157437,Complete
P51148,RAB5C,0,0,21.61429548191915,Complete
Q9P0J0,NDUFA13,0,0,21.468751199458787,Complete
P28066,PSMA5,0,0,21.623893252327523,Complete
P40123,CAP2,0,0,21.583934426634517,Complete
P31949,S100A11,4,10.256410256410255,20.729955217707992,MNAR
O43676,NDUFB3,0,0,21.50980818605283,Complete
P09429,HMGB1,0,0,21.620661226818473,Complete
P30153,PPP2R1A,0,0,21.64121192492982,Complete
P07099,EPHX1,0,0,21.568406016738965,Complete
P11166,SLC2A1,2,5.128205128205128,20.57118580869996,MAR
P13861,PRKAR2A,0,0,21.59346071269329,Complete
P68036,UBE2L3,0,0,21.47101314985905,Complete
Q9UHG3,PCYOX1,0,0,21.60755211653906,Complete
Q13643,FHL3,2,5.128205128205128,21.352342165671043,MAR
P02545,LMNA,0,0,21.232206049282105,Complete
O14561,NDUFAB1,0,0,21.47298094880957,Complete
P51668,UBE2D1,8,20.51282051282051,21.42484358823247,MNAR
P01034,CST3,1,2.564102564102564,21.109235323843063,MAR
P30566,ADSL,0,0,21.519167754221073,Complete
Q16778,HIST2H2BE,9,23.076923076923077,21.287682883069916,MNAR
P16152,CBR1,0,0,21.506172342483126,Complete
P52209,PGD,0,0,21.195939996860293,Complete
P54578,USP14,0,0,21.491285963636614,Complete
Q16555,DPYSL2,0,0,21.373730561523992,Complete
P63244,RACK1,0,0,21.56463525373763,Complete
Q01432,AMPD3,3,7.6923076923076925,21.368597448501774,MNAR
Q96IU4,ABHD14B,0,0,21.45117973081716,Complete
Q8NCW5,NAXE,0,0,21.523985671642183,Complete
O15382,BCAT2,3,7.6923076923076925,21.401698980954194,MNAR
P37802,TAGLN2,0,0,21.091112512397288,Complete
P05387,RPLP2,0,0,21.35187087273592,Complete
Q6IBS0,TWF2,0,0,21.53037052592346,Complete
O14818,PSMA7,0,0,21.49417742791502,Complete
P19367,HK1,0,0,21.520126800359463,Complete
P25789,PSMA4,0,0,21.510066942431546,Complete
Q14324,MYBPC2,3,7.6923076923076925,20.97615600963918,MNAR
P56556,NDUFA6,1,2.564102564102564,21.307626345258033,MAR
P50995,ANXA11,0,0,21.52326096522051,Complete
Q96MF2,STAC3,7,17.94871794871795,21.42526237169463,MNAR
Q9BS92,NIPSNAP3B,3,7.6923076923076925,21.24358632504115,MNAR
P23526,AHCY,0,0,21.471707948365964,Complete
O95168,NDUFB4,0,0,21.2836095372023,Complete
O75489,NDUFS3,0,0,21.363315899232234,Complete
P30038,ALDH4A1,0,0,21.411272818948362,Complete
P25787,PSMA2,0,0,21.32408739916432,Complete
P14649,MYL6B,3,7.6923076923076925,20.91672700660816,MNAR
Q15819,UBE2V2,0,0,21.44334303369591,Complete
O94760,DDAH1,1,2.564102564102564,21.207769283119728,MAR
Q99643,SDHC,7,17.94871794871795,21.128669639546082,MNAR
P30626,SRI,0,0,21.065506523360792,Complete
P23327,HRC,2,5.128205128205128,21.27768970851987,MAR
P13987,CD59,0,0,21.434625908813832,Complete
O00151,PDLIM1,0,0,21.388659089467073,Complete
P31948,STIP1,0,0,21.35417029308889,Complete
P52907,CAPZA1,0,0,21.164511117874472,Complete
P20774,OGN,1,2.564102564102564,20.526166997721685,MAR
Q14240,EIF4A2,1,2.564102564102564,21.413799694253665,MAR
O15260,SURF4,14,35.8974358974359,21.244893387646663,MNAR
P04632,CAPNS1,0,0,21.363113129961018,Complete
P22626,HNRNPA2B1,0,0,21.159936387404915,Complete
