sample_id,pct_missing,delta_missing,miss_flag,mahal_dist,pca_flag,sample_median,mad_deviation,mad_flag,n_flags,consensus_outlier
CR006_T1,3.939393939393939,49.09090909090909,TRUE,1.040459112375231,FALSE,23.30273722425114,0.09490980592522646,FALSE,1,FALSE
CR006_T2,53.03030303030303,49.09090909090909,TRUE,20.65808795717399,TRUE,26.567544933436416,3.1698979032600505,TRUE,3,TRUE
CR008_T1,4.545454545454546,27.575757575757578,TRUE,4.0570737830474934,FALSE,23.687439013381017,0.28979198320465116,FALSE,1,FALSE
CR008_T2,32.121212121212125,27.575757575757578,TRUE,18.159860456545466,TRUE,25.093103621214667,1.695456591038301,TRUE,3,TRUE
CR009_T1,8.787878787878787,-5.454545454545453,FALSE,0.9522982839106492,FALSE,23.39635457321096,0.0012924569654053641,FALSE,0,FALSE
CR009_T2,3.3333333333333335,-5.454545454545453,FALSE,1.9619924432711255,FALSE,23.768805524890595,0.3711584947142299,FALSE,0,FALSE
CR010_T1,0.9090909090909091,4.242424242424242,FALSE,1.194986810597177,FALSE,23.738583490539398,0.34093646036303227,FALSE,0,FALSE
CR010_T2,5.151515151515151,4.242424242424242,FALSE,0.7570147310212005,FALSE,23.33464551058441,0.06300151959195688,FALSE,0,FALSE
CR015_T1,5.757575757575758,-4.242424242424242,FALSE,0.38297336072776095,FALSE,23.25022829020546,0.14741873997090593,FALSE,0,FALSE
CR015_T2,1.5151515151515151,-4.242424242424242,FALSE,2.8509791192269285,FALSE,23.61401837837676,0.2163713482003935,FALSE,0,FALSE
CR017_T1,2.1212121212121215,4.242424242424242,FALSE,0.3379012613030944,FALSE,23.39893948714177,0.0012924569654053641,FALSE,0,FALSE
CR017_T2,6.363636363636363,4.242424242424242,FALSE,0.3032318149601417,FALSE,23.890476280350615,0.4928292501742497,FALSE,0,FALSE
CR018_T1,3.3333333333333335,3.03030303030303,FALSE,0.5130514538257687,FALSE,23.057061144340516,0.3405858858358499,FALSE,0,FALSE
CR018_T2,6.363636363636363,3.03030303030303,FALSE,0.39597840890574887,FALSE,23.214198299377124,0.18344873079924184,FALSE,0,FALSE
CR022_T1,3.6363636363636362,0.6060606060606069,FALSE,0.5467786254582188,FALSE,23.262076707003594,0.13557032317277162,FALSE,0,FALSE
CR022_T2,4.242424242424243,0.6060606060606069,FALSE,2.325802472326021,FALSE,23.29324622784302,0.1044008023333447,FALSE,0,FALSE
CR072_T1,12.424242424242424,-4.848484848484848,TRUE,5.6385744880391595,FALSE,23.147952190426498,0.24969483974986773,FALSE,1,FALSE
CR072_T2,7.575757575757576,-4.848484848484848,FALSE,0.7695405563665757,FALSE,23.79507107370443,0.3974240435280656,FALSE,0,FALSE
CR149_T1,3.3333333333333335,-1.212121212121212,FALSE,0.6386680991797842,FALSE,23.05205007434357,0.3455969558327965,FALSE,0,FALSE
CR149_T2,2.1212121212121215,-1.212121212121212,FALSE,0.5991336054978063,FALSE,23.173506505129012,0.22414052504735338,FALSE,0,FALSE
CR163_T1,1.2121212121212122,2.121212121212121,FALSE,0.8787934637973647,FALSE,23.496249821680568,0.09860279150420226,FALSE,0,FALSE
CR163_T2,3.3333333333333335,2.121212121212121,FALSE,1.554504166665627,FALSE,23.754441552300353,0.35679452212398743,FALSE,0,FALSE
CR383_T1,15.151515151515152,NA,TRUE,1.7620606320539303,FALSE,23.813504038982778,0.4158570088064124,FALSE,1,FALSE
CR386_T2,2.727272727272727,NA,FALSE,0.7202548937237521,FALSE,23.013932412510353,0.383714617666012,FALSE,0,FALSE
