dataset,norm,PCV,PMAD,COR,PCV_rank,PMAD_rank,COR_rank,norm_composite
SURV,vsn,0.0225,0.2891,0.9583,1.5,3,3.5,2.6666666666666665
SURV,rlr,0.0226,0.288,0.9583,3,2,3.5,2.8333333333333335
SURV,cycloess,0.0225,0.2807,0.9579,1.5,1,8,3.5
SURV,log2,0.0229,0.2983,0.9583,4,4,3.5,3.8333333333333335
SURV,gi,0.0237,0.2986,0.9583,5,5,3.5,4.5
SURV,mean,0.0238,0.3128,0.9583,6,6,3.5,5.166666666666667
SURV,median,0.0251,0.3469,0.9583,8,8,3.5,6.5
SURV,quantile,0.0247,0.3146,0.9582,7,7,7,7
