uniprot_id,gene,description,is_keratin,reason
Q13201,MMRN1,Multimerin-1,FALSE,Missingness
Q13368,MPP3,MAGUK p55 subfamily member 3,FALSE,Missingness
Q13418,ILK,Scaffold protein ILK,FALSE,Missingness
Q13740,ALCAM,CD166 antigen,FALSE,Missingness
Q13790,APOF,Apolipoprotein F,FALSE,Missingness
Q13822,ENPP2,Autotaxin,FALSE,Missingness
Q13905,RAPGEF1,Rap guanine nucleotide exchange factor 1,FALSE,Missingness
Q14118,DAG1,Dystroglycan 1,FALSE,Missingness
Q14587,ZNF268,Zinc finger protein 268,FALSE,Missingness
Q14766,LTBP1,Latent-transforming growth factor beta-binding protein 1,FALSE,Missingness
Q15404,RSU1,Ras suppressor protein 1,FALSE,Missingness
Q15468,STIL,SCL-interrupting locus protein,FALSE,Missingness
Q15485,FCN2,Ficolin-2,FALSE,Missingness
Q15811,ITSN1,Intersectin-1,FALSE,Missingness
Q15942,ZYX,Zyxin,FALSE,Missingness
Q16270,IGFBP7,Insulin-like growth factor-binding protein 7,FALSE,Missingness
Q17RS7,GEN1,Flap endonuclease GEN homolog 1,FALSE,Missingness
Q53RT3,ASPRV1,Retroviral-like aspartic protease 1,FALSE,Missingness
Q562R1,ACTBL2,Beta-actin-like protein 2,FALSE,Missingness
Q5T749,KPRP,Keratinocyte proline-rich protein,TRUE,Contaminant
Q6FI13,H2AC18,Histone H2A type 2-A,FALSE,Missingness
Q6PIF6,MYO7B,Unconventional myosin-VIIb,FALSE,Missingness
Q6PL18,ATAD2,ATPase family AAA domain-containing protein 2,FALSE,Missingness
Q71U36,TUBA1A,Tubulin alpha-1A chain,FALSE,Missingness
Q7Z698,SPRED2,"Sprouty-related, EVH1 domain-containing protein 2",FALSE,Missingness
Q7Z7M0,MEGF8,Multiple epidermal growth factor-like domains protein 8,FALSE,Missingness
Q86UX7,FERMT3,Fermitin family homolog 3,FALSE,Missingness
Q86VB7,CD163,Scavenger receptor cysteine-rich type 1 protein M130,FALSE,Missingness
Q8IU85,CAMK1D,Calcium/calmodulin-dependent protein kinase type 1D,FALSE,Missingness
Q8IUC4,RHPN2,Rhophilin-2,FALSE,Missingness
Q8IZH2,XRN1,5'-3' exoribonuclease 1,FALSE,Missingness
Q8N1N4,KRT78,"Keratin, type II cytoskeletal 78",TRUE,Contaminant
Q8NEZ4,KMT2C,Histone-lysine N-methyltransferase 2C,FALSE,Missingness
Q8WVV4,POF1B,Protein POF1B,FALSE,Missingness
Q8WWZ8,OIT3,Oncoprotein-induced transcript 3 protein,FALSE,Missingness
Q8WZ74,CTTNBP2,Cortactin-binding protein 2,FALSE,Missingness
Q92820,GGH,Gamma-glutamyl hydrolase,FALSE,Missingness
Q96P63,SERPINB12,Serpin B12,FALSE,Missingness
Q99624,SLC38A3,Sodium-coupled neutral amino acid transporter 3,FALSE,Missingness
Q99784,OLFM1,Noelin,FALSE,Missingness
Q9H098,FAM107B,Protein FAM107B,FALSE,Missingness
Q9H0U4,RAB1B,Ras-related protein Rab-1B,FALSE,Missingness
Q9H1E1,RNASE7,Ribonuclease 7,FALSE,Missingness
Q9H488,POFUT1,GDP-fucose protein O-fucosyltransferase 1,FALSE,Missingness
Q9H4G4,GLIPR2,Golgi-associated plant pathogenesis-related protein 1,FALSE,Missingness
Q9H4L4,SENP3,Sentrin-specific protease 3,FALSE,Missingness
Q9H668,STN1,CST complex subunit STN1,FALSE,Missingness
Q9H8L6,MMRN2,Multimerin-2,FALSE,Missingness
Q9HBI1,PARVB,Beta-parvin,FALSE,Missingness
Q9NPH3,IL1RAP,Interleukin-1 receptor accessory protein,FALSE,Missingness
Q9NSB4,KRT82,"Keratin, type II cuticular Hb2",TRUE,Contaminant
Q9NZH8,IL36G,Interleukin-36 gamma,FALSE,Missingness
Q9NZP8,C1RL,Complement C1r subcomponent-like protein,FALSE,Missingness
Q9NZT1,CALML5,Calmodulin-like protein 5,FALSE,Missingness
Q9P0X4,CACNA1I,Voltage-dependent T-type calcium channel subunit alpha-1I,FALSE,Missingness
Q9ULV4,CORO1C,Coronin-1C,FALSE,Missingness
Q9UNW1,MINPP1,Multiple inositol polyphosphate phosphatase 1,FALSE,Missingness
Q9Y3Q0,NAALAD2,N-acetylated-alpha-linked acidic dipeptidase 2,FALSE,Missingness
Q9Y4F1,FARP1,"FERM, ARHGEF and pleckstrin domain-containing protein 1",FALSE,Missingness
Q9Y4G8,RAPGEF2,Rap guanine nucleotide exchange factor 2,FALSE,Missingness
Q9Y4Z0,LSM4,U6 snRNA-associated Sm-like protein LSm4,FALSE,Missingness
Q9Y566,SHANK1,SH3 and multiple ankyrin repeat domains protein 1,FALSE,Missingness
Q9Y5P3,RAI2,Retinoic acid-induced protein 2,FALSE,Missingness
