dataset,norm,PCV,PMAD,COR,PCV_rank,PMAD_rank,COR_rank,norm_composite
CRE,vsn,0.0197,0.2496,0.9541,2.5,1,3.5,2.3333333333333335
CRE,rlr,0.0197,0.2522,0.9541,2.5,3,3.5,3
CRE,cycloess,0.0195,0.2503,0.9537,1,2,8,3.6666666666666665
CRE,log2,0.0201,0.2526,0.9541,4,4,3.5,3.8333333333333335
CRE,gi,0.0215,0.2657,0.9541,6,5,3.5,4.833333333333333
CRE,mean,0.0214,0.2782,0.9541,5,7,3.5,5.166666666666667
CRE,median,0.0224,0.2871,0.9541,8,8,3.5,6.5
CRE,quantile,0.0217,0.2723,0.954,7,6,7,6.666666666666667
